Results written: Wed Feb  4 18:51:18 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.02052876
Contributions  0.02052876
Restraints     0.00000000
Chi2           3.57608007
Reduced Chi2   0.01436177
Rw             0.14327862

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_V140_Phase0   7.04037438e-01 +/- 2.19854754e+09
x_V141_Phase0   2.95933602e-01 +/- 1.59328465e+09
x_V144_Phase0   2.87328477e-02 +/- 2.64935890e+08
x_V145_Phase0   9.71331117e-01 +/- 2.12872941e+09
x_V146_Phase0   4.75959929e-01 +/- 1.59934345e+09
x_V147_Phase0   5.24030172e-01 +/- 1.60213921e+09
x_V148_Phase0   9.79395374e-01 +/- 1.27093939e+09
x_V149_Phase0   2.06270989e-02 +/- 2.06843948e+08
x_V150_Phase0   5.28929658e-01 +/- 2.11055049e+09
x_V151_Phase0   4.70877562e-01 +/- 1.56597149e+09
x_V153_Phase0   6.28339312e-01 +/- 2.13084038e+09
x_V158_Phase0   6.31314875e-01 +/- 1.99172036e+09
x_V161_Phase0   9.53724677e-01 +/- 2.12388956e+09
x_V168_Phase0   3.66860383e-02 +/- 3.51433366e+08
x_V169_Phase0   9.63236430e-01 +/- 1.80734058e+09
x_V170_Phase0   4.58055413e-01 +/- 1.66072692e+09
x_V171_Phase0   5.41917402e-01 +/- 1.68755944e+09
x_V172_Phase0   9.62969260e-01 +/- 1.44388987e+09
x_V173_Phase0   3.68674997e-02 +/- 3.53289942e+08
x_V174_Phase0   5.37407303e-01 +/- 1.75915482e+09
x_V175_Phase0   4.62570532e-01 +/- 1.67674237e+09
x_V185_Phase0   6.30822266e-01 +/- 2.17271430e+09
x_V192_Phase0   2.10755899e-01 +/- 1.30149384e+09
x_V193_Phase0   7.89135885e-01 +/- 1.93186039e+09
x_V194_Phase0   2.82854857e-01 +/- 1.44923800e+09
