Results written: Thu Feb  5 00:19:55 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01870964
Contributions  0.01870964
Restraints     0.00000000
Chi2           3.25919173
Reduced Chi2   0.00499111
Rw             0.13678319

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O617_Phase0   2.52861601e-01 +/- 2.79089663e+13
x_O618_Phase0   7.56202727e-01 +/- 3.22886686e+13
x_O619_Phase0   2.43797273e-01 +/- 2.82177817e+13
x_O636_Phase0   2.00750987e-01 +/- 2.68715649e+13
x_O637_Phase0   7.99249013e-01 +/- 3.34638185e+13
x_O638_Phase0   3.00335184e-01 +/- 3.00695970e+13
x_O639_Phase0   6.99664816e-01 +/- 3.32146858e+13
x_O640_Phase0   8.00244240e-01 +/- 3.29296170e+13
x_O641_Phase0   1.99755760e-01 +/- 2.63167845e+13
x_O642_Phase0   7.00056078e-01 +/- 3.32052035e+13
x_O643_Phase0   2.99943922e-01 +/- 2.98095901e+13
x_O660_Phase0   1.43319964e-01 +/- 2.42926765e+13
x_O661_Phase0   8.56680036e-01 +/- 3.31226767e+13
x_O662_Phase0   3.56046957e-01 +/- 3.10647943e+13
x_O663_Phase0   6.43953043e-01 +/- 3.30150419e+13
x_O664_Phase0   8.55618858e-01 +/- 3.28034864e+13
x_O665_Phase0   1.44347553e-01 +/- 2.25242942e+13
x_O666_Phase0   6.44612248e-01 +/- 3.28907951e+13
x_O667_Phase0   3.55387752e-01 +/- 3.13679600e+13
x_O684_Phase0   7.10063655e-02 +/- 1.45257184e+13
x_O685_Phase0   9.28993634e-01 +/- 3.27581573e+13
x_O686_Phase0   4.30703030e-01 +/- 3.24510855e+13
x_O687_Phase0   5.69296970e-01 +/- 3.34077716e+13
x_O688_Phase0   9.30342570e-01 +/- 3.29592939e+13
x_O689_Phase0   6.97298271e-02 +/- 1.46977851e+13
x_O690_Phase0   5.69776815e-01 +/- 3.19884498e+13
x_O691_Phase0   4.30223185e-01 +/- 3.15649375e+13
x_O6_Phase0     5.40675290e-01 +/- 3.30708388e+13
x_O702_Phase0   6.99199511e-01 +/- 3.47199499e+13
x_O703_Phase0   3.00779467e-01 +/- 3.20106846e+13
x_O708_Phase0   1.36673515e-01 +/- 2.26575717e+13
x_O709_Phase0   8.63326485e-01 +/- 3.30006234e+13
x_O710_Phase0   3.63547605e-01 +/- 3.13286347e+13
x_O711_Phase0   6.36452395e-01 +/- 3.26428142e+13
x_O712_Phase0   8.63793374e-01 +/- 3.29633382e+13
x_O713_Phase0   1.36215981e-01 +/- 2.27259464e+13
x_O714_Phase0   6.36512502e-01 +/- 3.27215533e+13
x_O715_Phase0   3.63487498e-01 +/- 3.15147105e+13
x_O72_Phase0    2.69303969e-02 +/- 5.47092705e+12
x_O732_Phase0   1.99133626e-01 +/- 2.75343101e+13
x_O733_Phase0   8.00866374e-01 +/- 3.32429114e+13
x_O734_Phase0   2.99442349e-01 +/- 2.95983831e+13
x_O735_Phase0   7.00557651e-01 +/- 3.26009566e+13
x_O736_Phase0   7.99006406e-01 +/- 3.49017116e+13
x_O737_Phase0   2.00993594e-01 +/- 2.64172259e+13
x_O738_Phase0   7.01077244e-01 +/- 3.47124770e+13
x_O739_Phase0   2.98906444e-01 +/- 3.12596739e+13
x_O73_Phase0    9.73069603e-01 +/- 3.28519110e+13
x_O744_Phase0   2.55028024e-01 +/- 2.92236169e+13
x_O745_Phase0   7.44971976e-01 +/- 3.35998872e+13
x_O746_Phase0   7.55208785e-01 +/- 3.39948043e+13
x_O747_Phase0   2.44148584e-01 +/- 2.91010664e+13
x_O74_Phase0    4.71544472e-01 +/- 3.19950325e+13
x_O75_Phase0    5.28455528e-01 +/- 3.24027769e+13
x_O76_Phase0    9.72512186e-01 +/- 3.30352771e+13
x_O77_Phase0    2.74878145e-02 +/- 5.89806217e+12
x_O78_Phase0    5.26433987e-01 +/- 3.24052448e+13
x_O79_Phase0    4.73632179e-01 +/- 3.25281012e+13
