Results written: Wed Mar  4 11:34:11 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01628370
Contributions  0.01628370
Restraints     0.00000000
Chi2           3.34422209
Reduced Chi2   0.00500632
Rw             0.12760759

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O710_Phase0   3.63451072e-01 +/- 6.88952350e+12
x_O711_Phase0   6.36549844e-01 +/- 7.35158343e+12
x_O712_Phase0   8.63814647e-01 +/- 7.41103815e+12
x_O713_Phase0   1.36182074e-01 +/- 4.77164417e+12
x_O714_Phase0   6.36579072e-01 +/- 7.39529887e+12
x_O715_Phase0   3.63421348e-01 +/- 6.89789570e+12
x_O72_Phase0    2.70464544e-02 +/- 1.24953456e+12
x_O732_Phase0   1.99433015e-01 +/- 5.88195124e+12
x_O733_Phase0   8.00567087e-01 +/- 7.38661570e+12
x_O734_Phase0   2.99479229e-01 +/- 6.54788119e+12
x_O735_Phase0   7.00520582e-01 +/- 7.32749899e+12
x_O736_Phase0   7.98938190e-01 +/- 7.54281146e+12
x_O737_Phase0   2.01061852e-01 +/- 5.94127392e+12
x_O738_Phase0   7.01110373e-01 +/- 7.55430012e+12
x_O739_Phase0   2.98870957e-01 +/- 6.67655578e+12
x_O73_Phase0    9.72954767e-01 +/- 7.48382785e+12
x_O744_Phase0   2.54934708e-01 +/- 6.54164348e+12
x_O745_Phase0   7.45065142e-01 +/- 7.40588851e+12
x_O746_Phase0   7.55680679e-01 +/- 7.41933014e+12
x_O747_Phase0   2.44274779e-01 +/- 6.34443037e+12
x_O74_Phase0    4.71632204e-01 +/- 7.20499182e+12
x_O75_Phase0    5.28367146e-01 +/- 7.23892459e+12
x_O76_Phase0    9.72690373e-01 +/- 7.43816976e+12
x_O77_Phase0    2.73043538e-02 +/- 1.34747533e+12
x_O78_Phase0    5.26520418e-01 +/- 7.22680361e+12
x_O79_Phase0    4.73532677e-01 +/- 7.10175043e+12
x_O7_Phase0     4.59408698e-01 +/- 7.03633413e+12
x_O96_Phase0    9.82925085e-02 +/- 4.00636440e+12
x_O97_Phase0    9.01706664e-01 +/- 7.17052197e+12
x_O98_Phase0    4.02475280e-01 +/- 6.92414610e+12
x_O99_Phase0    5.97524865e-01 +/- 7.24493327e+12
x_V0_Phase0     4.37614057e-02 +/- 1.87412497e+12
x_V100_Phase0   8.73331208e-01 +/- 6.28492978e+12
x_V101_Phase0   1.26887594e-01 +/- 4.77252294e+12
x_V102_Phase0   6.29515642e-01 +/- 6.37868428e+12
x_V103_Phase0   3.70544155e-01 +/- 6.68096435e+12
x_V119_Phase0   7.94522252e-01 +/- 7.46331926e+12
x_V120_Phase0   1.34263980e-01 +/- 4.58335031e+12
x_V121_Phase0   8.65728015e-01 +/- 6.35257117e+12
x_V122_Phase0   3.66382615e-01 +/- 6.62314817e+12
x_V123_Phase0   6.33557396e-01 +/- 7.37101029e+12
x_V124_Phase0   8.67530962e-01 +/- 7.49761174e+12
x_V125_Phase0   1.32469839e-01 +/- 5.16787937e+12
x_V126_Phase0   6.29182733e-01 +/- 6.21561581e+12
x_V127_Phase0   3.70741477e-01 +/- 6.02460266e+12
x_V12_Phase0    2.80951879e-01 +/- 6.50250631e+12
x_V131_Phase0   1.26053330e-01 +/- 4.81975233e+12
x_V132_Phase0   1.25948190e-01 +/- 4.39726211e+12
x_V133_Phase0   8.74053773e-01 +/- 7.44648057e+12
x_V138_Phase0   7.94561495e-01 +/- 7.40969584e+12
x_V139_Phase0   2.05443157e-01 +/- 6.01182596e+12
x_V13_Phase0    7.19048124e-01 +/- 7.29005614e+12
x_V140_Phase0   7.04001674e-01 +/- 7.43142471e+12
x_V141_Phase0   2.95966310e-01 +/- 6.75176693e+12
x_V144_Phase0   2.85127576e-02 +/- 1.36769653e+12
x_V145_Phase0   9.71490075e-01 +/- 5.97321042e+12
x_V146_Phase0   4.76050769e-01 +/- 6.21502410e+12
x_V147_Phase0   5.23935658e-01 +/- 6.20174334e+12
x_V148_Phase0   9.79145578e-01 +/- 5.83177328e+12
x_V149_Phase0   2.08528835e-02 +/- 9.87322761e+11
x_V150_Phase0   5.29054697e-01 +/- 6.33327265e+12
x_V151_Phase0   4.70929141e-01 +/- 6.21970290e+12
x_V168_Phase0   3.70188487e-02 +/- 1.58703476e+12
x_V169_Phase0   9.62980830e-01 +/- 5.90772635e+12
x_V170_Phase0   4.57723965e-01 +/- 6.23651367e+12
x_V171_Phase0   5.42273685e-01 +/- 6.28684415e+12
x_V172_Phase0   9.62756877e-01 +/- 6.31034967e+12
x_V173_Phase0   3.71501320e-02 +/- 1.89226099e+12
x_V174_Phase0   5.37572244e-01 +/- 6.51859808e+12
x_V175_Phase0   4.62433202e-01 +/- 5.23784631e+12
x_V192_Phase0   2.09979537e-01 +/- 5.48167987e+12
x_V193_Phase0   7.90026016e-01 +/- 6.35951981e+12
x_V194_Phase0   2.83353802e-01 +/- 6.01273402e+12
x_V195_Phase0   7.16641278e-01 +/- 6.45117121e+12
x_V196_Phase0   7.87202002e-01 +/- 6.32789345e+12
x_V197_Phase0   2.13206657e-01 +/- 5.87614123e+12
x_V198_Phase0   7.13868983e-01 +/- 6.86210565e+12
x_V199_Phase0   2.85474479e-01 +/- 6.72892809e+12
x_V1_Phase0     9.56193663e-01 +/- 7.51487922e+12
x_V206_Phase0   7.06746556e-01 +/- 7.35974487e+12
x_V207_Phase0   2.93232784e-01 +/- 6.36424007e+12
x_V20_Phase0    6.20904173e-01 +/- 7.35760674e+12
x_V213_Phase0   3.51154139e-02 +/- 1.66450087e+12
x_V26_Phase0    1.21838430e-01 +/- 4.64858905e+12
x_V27_Phase0    8.78158142e-01 +/- 6.33639752e+12
x_V2_Phase0     4.52576740e-01 +/- 6.30060029e+12
x_V34_Phase0    4.64054182e-01 +/- 6.09676908e+12
x_V35_Phase0    5.35960848e-01 +/- 6.13869468e+12
x_V3_Phase0     5.47447122e-01 +/- 6.43987858e+12
x_V42_Phase0    1.98608740e-01 +/- 5.52570009e+12
x_V43_Phase0    8.01356564e-01 +/- 7.10451880e+12
x_V45_Phase0    2.99468235e-01 +/- 6.61376304e+12
x_V48_Phase0    3.66935005e-02 +/- 1.71686510e+12
x_V49_Phase0    9.63168757e-01 +/- 6.21583544e+12
x_V4_Phase0     9.59471609e-01 +/- 7.34851103e+12
x_V50_Phase0    4.62315799e-01 +/- 6.23389878e+12
x_V51_Phase0    5.37641681e-01 +/- 6.98521319e+12
x_V52_Phase0    9.63077686e-01 +/- 6.17400262e+12
x_V53_Phase0    3.70456061e-02 +/- 1.69746310e+12
x_V54_Phase0    5.37831723e-01 +/- 6.56779143e+12
x_V55_Phase0    4.62174351e-01 +/- 6.55495418e+12
x_V5_Phase0     4.05739461e-02 +/- 1.79298857e+12
x_V67_Phase0    4.60161878e-01 +/- 7.17930567e+12
x_V6_Phase0     5.41352077e-01 +/- 6.32140977e+12
x_V72_Phase0    2.01392119e-01 +/- 5.50932988e+12
x_V73_Phase0    7.98612468e-01 +/- 6.41300306e+12
x_V74_Phase0    3.04931426e-01 +/- 6.69921547e+12
