Results written: Fri Feb  6 15:33:02 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01897342
Contributions  0.01809320
Restraints     0.00088021
Chi2           2.86476923
Reduced Chi2   0.00438709
Rw             0.13765541

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O641_Phase0   1.99797544e-01 +/- 3.39914635e+13
x_O642_Phase0   7.00095352e-01 +/- 4.06100331e+13
x_O643_Phase0   2.99903589e-01 +/- 3.77545096e+13
x_O660_Phase0   1.43289245e-01 +/- 2.95216910e+13
x_O661_Phase0   8.56706609e-01 +/- 4.10602839e+13
x_O662_Phase0   3.56052950e-01 +/- 3.85616439e+13
x_O663_Phase0   6.43945418e-01 +/- 4.06291430e+13
x_O664_Phase0   8.55618487e-01 +/- 4.02496181e+13
x_O665_Phase0   1.44343566e-01 +/- 2.81044259e+13
x_O666_Phase0   6.44613105e-01 +/- 4.04717324e+13
x_O667_Phase0   3.55390389e-01 +/- 3.82977552e+13
x_O684_Phase0   7.07152551e-02 +/- 1.84457400e+13
x_O685_Phase0   9.29285617e-01 +/- 4.03628707e+13
x_O686_Phase0   4.30795140e-01 +/- 3.94758862e+13
x_O687_Phase0   5.69212409e-01 +/- 4.11380582e+13
x_O688_Phase0   9.30425704e-01 +/- 4.01139393e+13
x_O689_Phase0   6.96510995e-02 +/- 1.87204384e+13
x_O690_Phase0   5.69696589e-01 +/- 3.97496816e+13
x_O691_Phase0   4.30310473e-01 +/- 3.90997109e+13
x_O6_Phase0     5.40695341e-01 +/- 4.01137563e+13
x_O702_Phase0   6.99191889e-01 +/- 4.25327266e+13
x_O703_Phase0   3.00787758e-01 +/- 3.96761653e+13
x_O708_Phase0   1.36629305e-01 +/- 2.87862494e+13
x_O709_Phase0   8.63375280e-01 +/- 4.05229567e+13
x_O710_Phase0   3.63566926e-01 +/- 3.83119866e+13
x_O711_Phase0   6.36434773e-01 +/- 4.04408368e+13
x_O712_Phase0   8.63821294e-01 +/- 4.02591147e+13
x_O713_Phase0   1.36186681e-01 +/- 2.68886670e+13
x_O714_Phase0   6.36513278e-01 +/- 4.00538704e+13
x_O715_Phase0   3.63496125e-01 +/- 3.87777252e+13
x_O72_Phase0    2.68170457e-02 +/- 7.22538452e+12
x_O732_Phase0   1.99009359e-01 +/- 3.25515746e+13
x_O733_Phase0   8.00992786e-01 +/- 4.09376823e+13
x_O734_Phase0   2.99514388e-01 +/- 3.72789072e+13
x_O735_Phase0   7.00484409e-01 +/- 4.04765806e+13
x_O736_Phase0   7.99052793e-01 +/- 4.28169488e+13
x_O737_Phase0   2.01024140e-01 +/- 3.34559864e+13
x_O738_Phase0   7.01044743e-01 +/- 4.26095324e+13
x_O739_Phase0   2.98942775e-01 +/- 3.85445279e+13
x_O73_Phase0    9.73185794e-01 +/- 4.05168170e+13
x_O744_Phase0   2.55033137e-01 +/- 3.61332629e+13
x_O745_Phase0   7.44892829e-01 +/- 4.13219086e+13
x_O746_Phase0   7.55154646e-01 +/- 3.05612280e+13
x_O747_Phase0   2.44093883e-01 +/- 3.59218923e+13
x_O74_Phase0    4.71556228e-01 +/- 3.90466018e+13
x_O75_Phase0    5.28438771e-01 +/- 3.98584591e+13
x_O76_Phase0    9.72751151e-01 +/- 4.03426294e+13
x_O77_Phase0    2.74288913e-02 +/- 6.96481358e+12
x_O78_Phase0    5.26271251e-01 +/- 3.98292536e+13
x_O79_Phase0    4.73784519e-01 +/- 3.95010482e+13
x_O7_Phase0     4.59299496e-01 +/- 3.97455618e+13
x_O96_Phase0    9.85917400e-02 +/- 2.00374025e+13
x_O97_Phase0    9.01397138e-01 +/- 3.95971639e+13
x_O98_Phase0    4.02476063e-01 +/- 3.85415437e+13
x_O99_Phase0    5.97525112e-01 +/- 3.98680509e+13
x_V0_Phase0     4.36088102e-02 +/- 1.09090865e+13
x_V100_Phase0   8.73705378e-01 +/- 2.94558711e+13
x_V101_Phase0   1.26493473e-01 +/- 2.40470423e+13
x_V102_Phase0   6.29395301e-01 +/- 3.13442570e+13
x_V103_Phase0   3.70669950e-01 +/- 3.62778536e+13
x_V119_Phase0   7.94490624e-01 +/- 4.19822246e+13
x_V120_Phase0   1.34807149e-01 +/- 2.60078847e+13
