Results written: Mon Feb  2 21:00:05 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01886287
Contributions  0.01886287
Restraints     0.00000000
Chi2           3.77957094
Reduced Chi2   0.00087571
Rw             0.13734215

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O402_Phase0   8.01025972e-01 +/- 4.07359629e+13
x_O403_Phase0   1.98974028e-01 +/- 3.92200480e+13
x_O404_Phase0   1.99637639e-01 +/- 3.93815997e+13
x_O405_Phase0   8.00362361e-01 +/- 4.07526848e+13
x_O406_Phase0   6.97762089e-01 +/- 4.07473162e+13
x_O407_Phase0   3.02237911e-01 +/- 3.99303779e+13
x_O408_Phase0   4.59899073e-01 +/- 4.05335394e+13
x_O409_Phase0   5.40100927e-01 +/- 4.05452816e+13
x_O40_Phase0    4.31608917e-01 +/- 4.03865553e+13
x_O410_Phase0   5.38815553e-01 +/- 4.04814669e+13
x_O411_Phase0   4.61184447e-01 +/- 4.05155160e+13
x_O412_Phase0   9.61571343e-01 +/- 4.08347362e+13
x_O413_Phase0   3.84286569e-02 +/- 2.19613912e+13
x_O414_Phase0   4.02003864e-02 +/- 2.31684406e+13
x_O415_Phase0   9.59799614e-01 +/- 4.07899736e+13
x_O416_Phase0   1.91297881e-01 +/- 3.91712212e+13
x_O417_Phase0   8.08702119e-01 +/- 4.08397037e+13
x_O418_Phase0   3.09930973e-01 +/- 4.03230034e+13
x_O419_Phase0   6.90061488e-01 +/- 4.07940538e+13
x_O41_Phase0    5.68391083e-01 +/- 4.05449258e+13
x_O420_Phase0   8.09952886e-01 +/- 4.07844652e+13
x_O421_Phase0   1.90047114e-01 +/- 3.85244532e+13
x_O422_Phase0   6.90095388e-01 +/- 4.08249329e+13
x_O423_Phase0   3.09744695e-01 +/- 4.00982418e+13
x_O424_Phase0   2.98802907e-01 +/- 4.01165166e+13
x_O425_Phase0   7.01197093e-01 +/- 4.07972553e+13
x_O426_Phase0   7.98501132e-01 +/- 4.08304804e+13
x_O427_Phase0   2.01494181e-01 +/- 3.87521107e+13
x_O428_Phase0   2.00675437e-01 +/- 3.89344937e+13
x_O429_Phase0   7.99324563e-01 +/- 4.08159995e+13
x_O42_Phase0    5.69172149e-01 +/- 4.07091135e+13
x_O430_Phase0   7.01117810e-01 +/- 4.07862692e+13
x_O431_Phase0   2.98697281e-01 +/- 4.00001127e+13
x_O432_Phase0   4.04383752e-01 +/- 4.03948741e+13
x_O433_Phase0   5.95616248e-01 +/- 4.06839366e+13
x_O434_Phase0   5.95550681e-01 +/- 4.05762427e+13
x_O435_Phase0   4.04423798e-01 +/- 4.05049097e+13
x_O436_Phase0   9.03505915e-01 +/- 4.08309294e+13
x_O437_Phase0   9.64940846e-02 +/- 3.47239130e+13
x_O438_Phase0   9.46606591e-02 +/- 3.39652038e+13
x_O439_Phase0   9.05379273e-01 +/- 4.07537272e+13
x_O43_Phase0    4.30827851e-01 +/- 4.04093177e+13
x_O440_Phase0   1.57417330e-01 +/- 3.79466407e+13
x_O441_Phase0   8.42510230e-01 +/- 4.08640509e+13
x_O442_Phase0   3.43559371e-01 +/- 4.01416007e+13
x_O443_Phase0   6.56440629e-01 +/- 4.07342629e+13
x_O444_Phase0   8.43140001e-01 +/- 4.07818199e+13
x_O445_Phase0   1.56717635e-01 +/- 3.78778780e+13
x_O446_Phase0   6.57858527e-01 +/- 4.07362432e+13
x_O447_Phase0   3.42076199e-01 +/- 4.02592475e+13
x_O448_Phase0   4.26442913e-01 +/- 4.05788926e+13
x_O449_Phase0   5.73328725e-01 +/- 4.06025160e+13
x_O44_Phase0    9.30993098e-01 +/- 4.07826677e+13
x_O450_Phase0   9.26792478e-01 +/- 4.07269564e+13
x_O451_Phase0   7.32075222e-02 +/- 3.18028336e+13
x_O452_Phase0   7.29090925e-02 +/- 3.11169953e+13
x_O453_Phase0   9.27090907e-01 +/- 4.07150790e+13
x_O454_Phase0   5.71686410e-01 +/- 4.04810374e+13
x_O455_Phase0   4.28051019e-01 +/- 4.03067374e+13
x_O456_Phase0   1.87541174e-01 +/- 3.90631372e+13
x_O457_Phase0   8.12509148e-01 +/- 4.07469433e+13
x_O458_Phase0   8.11658246e-01 +/- 4.07940824e+13
