Results written: Thu Mar 26 10:21:09 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.03495246
Contributions  0.03493367
Restraints     0.00001879
Chi2           3.68341169
Reduced Chi2   0.00084696
Rw             0.18694869

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O267_Phase0   1.71479866e-01 +/- 2.85594611e+13
x_O268_Phase0   6.68242695e-01 +/- 3.01690537e+13
x_O269_Phase0   3.31757600e-01 +/- 2.99319618e+13
x_O26_Phase0    4.75889198e-01 +/- 3.00725762e+13
x_O270_Phase0   3.28776934e-01 +/- 2.96375743e+13
x_O271_Phase0   6.71223212e-01 +/- 3.02198503e+13
x_O272_Phase0   1.10708182e-02 +/- 5.38623205e+12
x_O273_Phase0   9.88929637e-01 +/- 3.00397503e+13
x_O274_Phase0   4.88579948e-01 +/- 2.99292565e+13
x_O275_Phase0   5.11419259e-01 +/- 2.99493039e+13
x_O276_Phase0   9.88442198e-01 +/- 3.01039081e+13
x_O277_Phase0   1.15555121e-02 +/- 5.50902039e+12
x_O278_Phase0   5.11946237e-01 +/- 3.07310675e+13
x_O279_Phase0   4.88048778e-01 +/- 3.08292591e+13
x_O27_Phase0    5.24112024e-01 +/- 3.01920545e+13
x_O280_Phase0   4.73212038e-01 +/- 2.99385822e+13
x_O281_Phase0   5.26788147e-01 +/- 2.99180304e+13
x_O282_Phase0   9.73553928e-01 +/- 2.99867348e+13
x_O283_Phase0   2.64473511e-02 +/- 1.15953933e+13
x_O284_Phase0   2.76077775e-02 +/- 1.25448259e+13
x_O285_Phase0   9.72390834e-01 +/- 2.99621021e+13
x_O286_Phase0   5.27240686e-01 +/- 2.97784453e+13
x_O287_Phase0   4.72762940e-01 +/- 2.97658919e+13
x_O288_Phase0   1.73934666e-01 +/- 2.87147813e+13
x_O289_Phase0   8.26065802e-01 +/- 3.00943509e+13
x_O28_Phase0    9.75948036e-01 +/- 3.03013613e+13
x_O290_Phase0   8.28259800e-01 +/- 3.00316956e+13
x_O291_Phase0   1.71740955e-01 +/- 2.85528413e+13
x_O292_Phase0   6.72721142e-01 +/- 3.01524696e+13
x_O293_Phase0   3.27279675e-01 +/- 2.97144441e+13
x_O294_Phase0   3.27010683e-01 +/- 2.99563014e+13
x_O295_Phase0   6.72985562e-01 +/- 3.02707938e+13
x_O296_Phase0   5.67843690e-03 +/- 2.71897817e+12
x_O297_Phase0   9.94321993e-01 +/- 3.00737052e+13
x_O298_Phase0   4.96554081e-01 +/- 3.00201705e+13
x_O299_Phase0   5.03596920e-01 +/- 3.00636514e+13
x_O29_Phase0    2.40508762e-02 +/- 1.09590898e+13
x_O2_Phase0     4.60309637e-01 +/- 2.99780397e+13
x_O300_Phase0   9.94980557e-01 +/- 3.24310430e+13
x_O301_Phase0   5.03828034e-03 +/- 2.55790392e+12
x_O302_Phase0   5.06155322e-01 +/- 3.00674374e+13
x_O303_Phase0   4.93844325e-01 +/- 3.01120864e+13
x_O304_Phase0   3.15178568e-01 +/- 2.98015324e+13
x_O305_Phase0   6.84820521e-01 +/- 3.00192268e+13
