Results written: Sun Mar  1 15:32:38 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01236317
Contributions  0.01236317
Restraints     0.00000000
Chi2           2.30948967
Reduced Chi2   0.00345732
Rw             0.11118980

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O568_Phase0   9.60818387e-01 +/- 1.01005635e+13
x_O569_Phase0   3.91814022e-02 +/- 2.39211206e+12
x_O570_Phase0   5.40441592e-01 +/- 9.50688528e+12
x_O571_Phase0   4.59558536e-01 +/- 9.29590022e+12
x_O576_Phase0   2.24048930e-01 +/- 8.34958749e+12
x_O577_Phase0   7.75950884e-01 +/- 1.00182204e+13
x_O584_Phase0   6.39836677e-01 +/- 9.93947488e+12
x_O588_Phase0   1.63427643e-01 +/- 6.84155253e+12
x_O589_Phase0   8.36572140e-01 +/- 9.78383549e+12
x_O590_Phase0   3.36704105e-01 +/- 8.88526864e+12
x_O591_Phase0   6.63296183e-01 +/- 9.70650932e+12
x_O592_Phase0   8.36661607e-01 +/- 9.87856994e+12
x_O593_Phase0   1.63338738e-01 +/- 7.26691641e+12
x_O594_Phase0   6.62691827e-01 +/- 9.64105187e+12
x_O595_Phase0   3.37308050e-01 +/- 9.22767520e+12
x_O5_Phase0     3.97487604e-02 +/- 2.47152157e+12
x_O612_Phase0   2.55271022e-01 +/- 8.39993595e+12
x_O613_Phase0   7.44728837e-01 +/- 9.51063575e+12
x_O614_Phase0   2.46731314e-01 +/- 8.05882783e+12
x_O615_Phase0   7.53269550e-01 +/- 9.29545638e+12
x_O616_Phase0   7.46609175e-01 +/- 9.28810569e+12
x_O617_Phase0   2.53390683e-01 +/- 8.22233127e+12
x_O618_Phase0   7.56244027e-01 +/- 9.60840542e+12
x_O619_Phase0   2.43756024e-01 +/- 7.87167476e+12
x_O636_Phase0   2.00598179e-01 +/- 7.67775235e+12
x_O637_Phase0   7.99402492e-01 +/- 9.80138720e+12
x_O638_Phase0   3.00297842e-01 +/- 8.72798071e+12
x_O639_Phase0   6.99702397e-01 +/- 9.75986076e+12
x_O640_Phase0   8.00429154e-01 +/- 9.86264895e+12
x_O641_Phase0   1.99571006e-01 +/- 8.12992181e+12
x_O642_Phase0   6.99831605e-01 +/- 9.83969009e+12
x_O643_Phase0   3.00168603e-01 +/- 8.87977812e+12
x_O660_Phase0   1.43359990e-01 +/- 6.85336697e+12
x_O661_Phase0   8.56640152e-01 +/- 9.87258665e+12
x_O662_Phase0   3.55964323e-01 +/- 9.25484794e+12
x_O663_Phase0   6.44035803e-01 +/- 9.68472723e+12
x_O664_Phase0   8.55725512e-01 +/- 9.84854730e+12
x_O665_Phase0   1.44253278e-01 +/- 6.64209362e+12
x_O666_Phase0   6.44506466e-01 +/- 9.75506535e+12
x_O667_Phase0   3.55493683e-01 +/- 9.15704855e+12
x_O684_Phase0   7.09438717e-02 +/- 3.96398139e+12
x_O685_Phase0   9.29055863e-01 +/- 9.43869540e+12
x_O686_Phase0   4.30945382e-01 +/- 9.53435957e+12
x_O687_Phase0   5.69054739e-01 +/- 9.73378217e+12
x_O688_Phase0   9.30177119e-01 +/- 9.65206058e+12
x_O689_Phase0   6.98704003e-02 +/- 3.88322824e+12
x_O690_Phase0   5.69860723e-01 +/- 9.54049757e+12
x_O691_Phase0   4.30138757e-01 +/- 9.25349934e+12
x_O6_Phase0     5.40589493e-01 +/- 9.70535255e+12
x_O702_Phase0   6.99129565e-01 +/- 9.99956418e+12
x_O703_Phase0   3.00870357e-01 +/- 8.84903715e+12
x_O708_Phase0   1.36825252e-01 +/- 6.84132200e+12
x_O709_Phase0   8.63175076e-01 +/- 9.85031941e+12
x_O710_Phase0   3.63415947e-01 +/- 9.23669195e+12
x_O711_Phase0   6.36584305e-01 +/- 9.73941533e+12
x_O712_Phase0   8.63798974e-01 +/- 9.83244224e+12
