Results written: Thu Mar  5 15:27:04 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01684734
Contributions  0.01684734
Restraints     0.00000000
Chi2           3.45586848
Reduced Chi2   0.00517346
Rw             0.12979731

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O667_Phase0   3.55496073e-01 +/- 9.59626247e+12
x_O684_Phase0   7.09402218e-02 +/- 4.12437423e+12
x_O685_Phase0   9.29059844e-01 +/- 1.01597414e+13
x_O686_Phase0   4.30956694e-01 +/- 9.73197157e+12
x_O687_Phase0   5.69043394e-01 +/- 9.99784311e+12
x_O688_Phase0   9.30199650e-01 +/- 1.01370486e+13
x_O689_Phase0   6.98480437e-02 +/- 4.26742867e+12
x_O690_Phase0   5.69360053e-01 +/- 9.85245616e+12
x_O691_Phase0   4.30802301e-01 +/- 9.45623377e+12
x_O6_Phase0     5.40597304e-01 +/- 9.92537833e+12
x_O702_Phase0   6.99129375e-01 +/- 1.03239534e+13
x_O703_Phase0   3.00870726e-01 +/- 9.00235102e+12
x_O708_Phase0   1.36798031e-01 +/- 6.39459627e+12
x_O709_Phase0   8.63202199e-01 +/- 1.02096645e+13
x_O710_Phase0   3.63445708e-01 +/- 9.39338715e+12
x_O711_Phase0   6.36554884e-01 +/- 1.00565227e+13
x_O712_Phase0   8.63805607e-01 +/- 1.01788731e+13
x_O713_Phase0   1.36190307e-01 +/- 6.57559453e+12
x_O714_Phase0   6.36579307e-01 +/- 1.00833591e+13
x_O715_Phase0   3.63420847e-01 +/- 9.57736468e+12
x_O72_Phase0    2.70061242e-02 +/- 1.78377233e+12
x_O732_Phase0   1.99433517e-01 +/- 8.07250359e+12
x_O733_Phase0   8.00566544e-01 +/- 1.01051132e+13
x_O734_Phase0   2.99479514e-01 +/- 9.18156417e+12
x_O735_Phase0   7.00520384e-01 +/- 1.00421413e+13
x_O736_Phase0   7.98937960e-01 +/- 1.04093930e+13
x_O737_Phase0   2.01062096e-01 +/- 8.12010690e+12
x_O738_Phase0   7.01110415e-01 +/- 1.03209295e+13
x_O739_Phase0   2.98870830e-01 +/- 8.96843063e+12
x_O73_Phase0    9.72991589e-01 +/- 1.01597725e+13
x_O744_Phase0   2.54932667e-01 +/- 8.81390188e+12
x_O745_Phase0   7.45067240e-01 +/- 1.01829645e+13
x_O746_Phase0   7.55678377e-01 +/- 1.01504646e+13
x_O747_Phase0   2.44277082e-01 +/- 8.77620230e+12
x_O74_Phase0    4.71644449e-01 +/- 9.75016977e+12
x_O75_Phase0    5.28354892e-01 +/- 9.99075501e+12
x_O76_Phase0    9.72718454e-01 +/- 1.01377170e+13
x_O77_Phase0    2.73335935e-02 +/- 1.73558008e+12
x_O78_Phase0    5.26523104e-01 +/- 9.92421851e+12
x_O79_Phase0    4.73528874e-01 +/- 9.78611460e+12
x_O7_Phase0     4.59402986e-01 +/- 9.79073366e+12
x_O96_Phase0    9.84278873e-02 +/- 5.59005391e+12
x_O97_Phase0    9.01588677e-01 +/- 9.71658434e+12
x_O98_Phase0    4.02480519e-01 +/- 9.48897713e+12
x_O99_Phase0    5.97519824e-01 +/- 1.00475417e+13
x_V0_Phase0     4.35078627e-02 +/- 2.66454367e+12
x_V100_Phase0   8.73334404e-01 +/- 8.27225284e+12
x_V101_Phase0   1.26888067e-01 +/- 5.63038972e+12
x_V102_Phase0   6.29593470e-01 +/- 8.74463112e+12
x_V103_Phase0   3.70098605e-01 +/- 8.94788179e+12
x_V119_Phase0   7.94510009e-01 +/- 1.02078533e+13
x_V120_Phase0   1.34287248e-01 +/- 6.48913341e+12
x_V121_Phase0   8.65704934e-01 +/- 8.64575130e+12
x_V122_Phase0   3.65959769e-01 +/- 8.93783123e+12
x_V123_Phase0   6.33569498e-01 +/- 1.00621951e+13
x_V124_Phase0   8.67535812e-01 +/- 1.02786068e+13
x_V125_Phase0   1.32466188e-01 +/- 6.43785252e+12
x_V126_Phase0   6.29166186e-01 +/- 8.40383921e+12
x_V127_Phase0   3.70755280e-01 +/- 8.22613090e+12
x_V12_Phase0    2.80963330e-01 +/- 8.82107381e+12
x_V131_Phase0   1.26060820e-01 +/- 6.66392583e+12
x_V132_Phase0   1.25966159e-01 +/- 6.36875120e+12
x_V133_Phase0   8.74035399e-01 +/- 1.01642951e+13
x_V138_Phase0   7.94542661e-01 +/- 1.01732929e+13
x_V139_Phase0   2.05451754e-01 +/- 8.41660578e+12
x_V13_Phase0    7.19037400e-01 +/- 9.99410538e+12
x_V140_Phase0   7.03993418e-01 +/- 1.01107367e+13
x_V141_Phase0   2.95974489e-01 +/- 9.00077810e+12
x_V144_Phase0   2.85260862e-02 +/- 1.77953717e+12
x_V145_Phase0   9.71475905e-01 +/- 7.95278030e+12
x_V146_Phase0   4.76027301e-01 +/- 8.60296481e+12
x_V147_Phase0   5.23954974e-01 +/- 8.57197663e+12
x_V148_Phase0   9.79124554e-01 +/- 7.74227492e+12
x_V149_Phase0   2.08747004e-02 +/- 1.38848737e+12
x_V150_Phase0   5.29052946e-01 +/- 8.47980867e+12
x_V151_Phase0   4.70933213e-01 +/- 8.49306506e+12
x_V168_Phase0   3.65317827e-02 +/- 2.19614411e+12
x_V169_Phase0   9.63596684e-01 +/- 8.12620080e+12
x_V170_Phase0   4.57717925e-01 +/- 8.37864506e+12
x_V171_Phase0   5.42281709e-01 +/- 8.50275639e+12
x_V172_Phase0   9.62649364e-01 +/- 8.60228289e+12
x_V173_Phase0   3.71932054e-02 +/- 2.48763328e+12
x_V174_Phase0   5.37322124e-01 +/- 8.92923280e+12
x_V175_Phase0   4.62607604e-01 +/- 8.71695099e+12
x_V192_Phase0   2.09997697e-01 +/- 7.46462545e+12
x_V193_Phase0   7.90006741e-01 +/- 8.48331959e+12
x_V194_Phase0   2.83370132e-01 +/- 8.18609906e+12
x_V195_Phase0   7.16624658e-01 +/- 8.69332601e+12
x_V196_Phase0   7.87244663e-01 +/- 8.73950564e+12
x_V197_Phase0   2.13172147e-01 +/- 8.13852942e+12
x_V198_Phase0   7.13851087e-01 +/- 9.31355143e+12
x_V199_Phase0   2.85481999e-01 +/- 8.88028537e+12
x_V1_Phase0     9.56241207e-01 +/- 1.02153081e+13
x_V206_Phase0   7.06755750e-01 +/- 1.01742013e+13
x_V207_Phase0   2.93216058e-01 +/- 8.50524282e+12
x_V20_Phase0    6.20900421e-01 +/- 1.00242851e+13
x_V213_Phase0   3.51155454e-02 +/- 2.19702997e+12
x_V26_Phase0    1.21850825e-01 +/- 5.62808425e+12
x_V27_Phase0    8.78146186e-01 +/- 8.72100682e+12
x_V2_Phase0     4.52574250e-01 +/- 8.53902515e+12
x_V34_Phase0    4.64030065e-01 +/- 8.25424928e+12
x_V35_Phase0    5.35983768e-01 +/- 8.49091051e+12
x_V3_Phase0     5.47448889e-01 +/- 8.62429799e+12
x_V42_Phase0    1.98613766e-01 +/- 7.67924995e+12
x_V43_Phase0    8.01357589e-01 +/- 9.67972639e+12
x_V45_Phase0    2.99494007e-01 +/- 9.20483998e+12
x_V48_Phase0    3.66933779e-02 +/- 2.31883678e+12
x_V49_Phase0    9.63159029e-01 +/- 8.44266448e+12
x_V4_Phase0     9.59463101e-01 +/- 1.00555349e+13
x_V50_Phase0    4.62290492e-01 +/- 8.61804856e+12
x_V51_Phase0    5.37646670e-01 +/- 9.47621467e+12
x_V52_Phase0    9.63078955e-01 +/- 8.37553056e+12
x_V53_Phase0    3.70378423e-02 +/- 2.33400538e+12
x_V54_Phase0    5.37727905e-01 +/- 8.98289290e+12
x_V55_Phase0    4.62277893e-01 +/- 8.91780660e+12
x_V5_Phase0     4.05865804e-02 +/- 2.42352219e+12
x_V67_Phase0    4.60228306e-01 +/- 9.86506896e+12
x_V6_Phase0     5.41366810e-01 +/- 8.61563848e+12
x_V72_Phase0    2.01304607e-01 +/- 7.48758675e+12
x_V73_Phase0    7.98707292e-01 +/- 8.56037111e+12
x_V74_Phase0    3.04944885e-01 +/- 9.13595074e+12
x_V75_Phase0    6.95054148e-01 +/- 1.00639458e+13
x_V76_Phase0    8.04074267e-01 +/- 1.01268018e+13
x_V77_Phase0    1.95924432e-01 +/- 8.09128177e+12
x_V78_Phase0    6.98330978e-01 +/- 8.90179806e+12
x_V79_Phase0    3.01669641e-01 +/- 8.38756967e+12
x_V7_Phase0     4.58632220e-01 +/- 8.60161995e+12
x_V82_Phase0    9.68632350e-01 +/- 9.42548365e+12
x_V83_Phase0    3.14169122e-02 +/- 1.99119359e+12
x_V84_Phase0    3.13623836e-02 +/- 2.01820024e+12
