Results written: Mon Mar  2 07:36:39 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01224365
Contributions  0.01224365
Restraints     0.00000000
Chi2           2.31512012
Reduced Chi2   0.00784786
Rw             0.11065101

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_ZR39_Phase0   6.67402000e-01 +/- 2.10033167e+11
x_ZR3_Phase0    5.04076000e-01 +/- 1.99934728e+11
x_ZR40_Phase0   8.38020000e-01 +/- 2.10100676e+11
x_ZR41_Phase0   1.61907000e-01 +/- 1.38323879e+11
x_ZR42_Phase0   6.66019000e-01 +/- 2.11131085e+11
x_ZR43_Phase0   3.33504000e-01 +/- 1.83306706e+11
x_ZR44_Phase0   3.32935000e-01 +/- 1.88281042e+11
x_ZR45_Phase0   6.67420000e-01 +/- 2.20704789e+11
x_ZR46_Phase0   8.30723000e-01 +/- 2.02030419e+11
x_ZR47_Phase0   1.68840000e-01 +/- 1.42339946e+11
x_ZR48_Phase0   1.70956000e-01 +/- 1.49688888e+11
x_ZR49_Phase0   8.28971000e-01 +/- 2.28848376e+11
x_ZR4_Phase0    9.97052000e-01 +/- 1.96873110e+11
x_ZR50_Phase0   6.66991000e-01 +/- 2.18717441e+11
x_ZR51_Phase0   3.32223000e-01 +/- 1.85664097e+11
x_ZR52_Phase0   3.36207000e-01 +/- 1.87696078e+11
x_ZR53_Phase0   6.63901000e-01 +/- 2.27750306e+11
x_ZR54_Phase0   6.61256000e-01 +/- 1.96015562e+11
x_ZR55_Phase0   3.37718000e-01 +/- 1.80462357e+11
x_ZR56_Phase0   8.35804000e-01 +/- 2.09908568e+11
x_ZR57_Phase0   1.64312000e-01 +/- 1.32641633e+11
x_ZR58_Phase0   1.61717000e-01 +/- 1.37621188e+11
x_ZR59_Phase0   8.38411000e-01 +/- 2.10614979e+11
x_ZR5_Phase0    2.67599990e-03 +/- 2.77372678e+09
x_ZR60_Phase0   5.35099994e-03 +/- 6.15550228e+09
x_ZR61_Phase0   9.94357000e-01 +/- 1.82649999e+11
x_ZR62_Phase0   4.98096000e-01 +/- 2.09713512e+11
x_ZR63_Phase0   5.02127000e-01 +/- 2.08729491e+11
x_ZR64_Phase0   9.98238000e-01 +/- 1.96904706e+11
