Results written: Sun Feb 22 06:01:07 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01700831
Contributions  0.01697609
Restraints     0.00003223
Chi2           2.75772140
Reduced Chi2   0.00065133
Rw             0.13040477

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O260_Phase0   1.79877831e-01 +/- 4.98389032e+13
x_O261_Phase0   8.20120580e-01 +/- 5.32404650e+13
x_O262_Phase0   6.79482858e-01 +/- 5.30489809e+13
x_O263_Phase0   3.20513946e-01 +/- 5.25290694e+13
x_O264_Phase0   1.72017649e-01 +/- 4.97753531e+13
x_O265_Phase0   8.27985903e-01 +/- 5.33264890e+13
x_O266_Phase0   8.28332165e-01 +/- 5.37306188e+13
x_O267_Phase0   1.71547378e-01 +/- 5.08629932e+13
x_O268_Phase0   6.68922042e-01 +/- 5.36137818e+13
x_O269_Phase0   3.31084047e-01 +/- 5.29173775e+13
x_O26_Phase0    4.75890753e-01 +/- 5.29810144e+13
x_O270_Phase0   3.28708449e-01 +/- 5.28663073e+13
x_O271_Phase0   6.71291701e-01 +/- 5.33177818e+13
x_O272_Phase0   1.10896804e-02 +/- 1.02491960e+13
x_O273_Phase0   9.88909588e-01 +/- 5.44897993e+13
x_O274_Phase0   4.88466133e-01 +/- 5.38226800e+13
x_O275_Phase0   5.11530976e-01 +/- 5.35256997e+13
x_O276_Phase0   9.88343395e-01 +/- 5.29038621e+13
x_O277_Phase0   1.16561783e-02 +/- 9.72821072e+12
x_O278_Phase0   5.12208058e-01 +/- 5.29724372e+13
x_O279_Phase0   4.87792781e-01 +/- 5.27379089e+13
x_O27_Phase0    5.24110327e-01 +/- 5.30979228e+13
x_O280_Phase0   4.73141932e-01 +/- 5.24966081e+13
x_O281_Phase0   5.26858628e-01 +/- 5.26575177e+13
x_O282_Phase0   9.73538883e-01 +/- 5.29690252e+13
x_O283_Phase0   2.64663689e-02 +/- 2.67327598e+13
x_O284_Phase0   2.78639508e-02 +/- 2.19380806e+13
x_O285_Phase0   9.72133996e-01 +/- 5.28262422e+13
x_O286_Phase0   5.27126242e-01 +/- 5.26223584e+13
x_O287_Phase0   4.72876536e-01 +/- 5.25200885e+13
x_O288_Phase0   1.74089305e-01 +/- 5.45425972e+13
x_O289_Phase0   8.25916352e-01 +/- 5.33180531e+13
x_O28_Phase0    9.75909354e-01 +/- 5.37585410e+13
x_O290_Phase0   8.28438882e-01 +/- 5.34791747e+13
x_O291_Phase0   1.71563269e-01 +/- 4.98204813e+13
x_O292_Phase0   6.72694065e-01 +/- 5.28944161e+13
x_O293_Phase0   3.27306450e-01 +/- 5.22230888e+13
x_O294_Phase0   3.27109531e-01 +/- 5.21361280e+13
x_O295_Phase0   6.72889052e-01 +/- 5.35881294e+13
x_O296_Phase0   5.76535412e-03 +/- 4.74843144e+12
x_O297_Phase0   9.94234407e-01 +/- 5.52430664e+13
x_O298_Phase0   4.96441469e-01 +/- 5.31950139e+13
x_O299_Phase0   5.03563509e-01 +/- 5.31885819e+13
x_O29_Phase0    2.40883325e-02 +/- 1.97819339e+13
x_O2_Phase0     4.60430601e-01 +/- 5.24726317e+13
x_O300_Phase0   9.95113926e-01 +/- 1.11408332e+14
x_O301_Phase0   4.90462790e-03 +/- 4.27533454e+12
x_O302_Phase0   5.06369759e-01 +/- 5.30425326e+13
x_O303_Phase0   4.93629322e-01 +/- 5.31442637e+13
x_O304_Phase0   3.15343352e-01 +/- 5.24569497e+13
x_O305_Phase0   6.84655896e-01 +/- 5.37091391e+13
x_O306_Phase0   8.15486443e-01 +/- 5.37568228e+13
x_O307_Phase0   1.84511816e-01 +/- 5.40596403e+13
x_O308_Phase0   1.83674351e-01 +/- 5.13225004e+13
x_O309_Phase0   8.16321332e-01 +/- 5.41830174e+13
x_O30_Phase0    5.23632412e-01 +/- 5.30700842e+13
x_O310_Phase0   6.82980078e-01 +/- 5.34279879e+13
