Results written: Sat Feb 21 14:26:37 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01769306
Contributions  0.00887112
Restraints     0.00882194
Chi2           2.84641363
Reduced Chi2   0.00964886
Rw             0.13248518

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
y_O26_Phase0    5.69220703e-01 +/- 4.52108223e+13
y_O272_Phase0   1.74023782e-01 +/- 3.11639750e+13
y_O274_Phase0   8.28434601e-01 +/- 4.50522681e+13
y_O276_Phase0   6.72655498e-01 +/- 4.59981691e+13
y_O278_Phase0   3.27131173e-01 +/- 4.07990327e+13
y_O28_Phase0    9.30892747e-01 +/- 4.95407292e+13
y_O296_Phase0   3.48400169e-01 +/- 4.34954835e+13
y_O298_Phase0   6.52686251e-01 +/- 4.64356212e+13
y_O2_Phase0     6.51815490e-01 +/- 4.57120538e+13
y_O300_Phase0   8.47254333e-01 +/- 4.70052463e+13
y_O302_Phase0   1.50322227e-01 +/- 2.76860109e+13
y_O30_Phase0    6.78364258e-02 +/- 1.42514303e+13
y_O320_Phase0   3.78145273e-01 +/- 4.89762395e+13
y_O322_Phase0   6.22000313e-01 +/- 4.73625211e+13
y_O324_Phase0   8.78082579e-01 +/- 5.10469087e+13
y_O326_Phase0   1.21671381e-01 +/- 2.34490935e+13
y_O328_Phase0   3.58722221e-01 +/- 4.55407291e+13
y_O344_Phase0   4.05354660e-02 +/- 7.94892910e+12
y_O346_Phase0   9.58848854e-01 +/- 4.80730465e+13
