Results written: Sat Feb  7 09:43:43 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01781538
Contributions  0.01742556
Restraints     0.00038982
Chi2           2.50986516
Reduced Chi2   0.00868465
Rw             0.13344186

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O732_Phase0   1.98461217e-01 +/- 3.41632092e+13
x_O734_Phase0   2.99835695e-01 +/- 3.88334265e+13
x_O736_Phase0   7.99163716e-01 +/- 5.21942053e+13
x_O737_Phase0   2.00912354e-01 +/- 3.78929922e+13
x_O738_Phase0   7.00948961e-01 +/- 5.23511756e+13
x_O739_Phase0   2.99040506e-01 +/- 4.59907924e+13
x_O744_Phase0   2.55036545e-01 +/- 4.07587494e+13
x_O745_Phase0   7.44886613e-01 +/- 5.16033176e+13
x_O746_Phase0   7.55413182e-01 +/- 5.23418168e+13
x_O747_Phase0   2.44019952e-01 +/- 4.20180443e+13
x_O74_Phase0    4.71763905e-01 +/- 4.09257411e+13
x_O753_Phase0   7.88457513e-03 +/- 2.51230638e+12
x_O754_Phase0   8.82675591e-03 +/- 2.34226491e+12
x_O76_Phase0    9.72903467e-01 +/- 4.97898254e+13
x_O77_Phase0    2.70850504e-02 +/- 7.42045115e+12
x_O78_Phase0    5.25966546e-01 +/- 4.50493700e+13
x_O79_Phase0    4.74091629e-01 +/- 4.80999423e+13
x_O96_Phase0    9.87661919e-02 +/- 2.67020260e+13
x_O97_Phase0    9.01203247e-01 +/- 4.95187479e+13
x_O98_Phase0    4.02462565e-01 +/- 4.31656281e+13
x_V0_Phase0     4.40208719e-02 +/- 1.17239488e+13
x_V100_Phase0   8.73600532e-01 +/- 3.49965830e+13
x_V101_Phase0   1.26680360e-01 +/- 2.76548365e+13
x_V102_Phase0   6.29339019e-01 +/- 3.90318280e+13
x_V103_Phase0   3.70770490e-01 +/- 4.39563155e+13
x_V10_Phase0    7.12322028e-01 +/- 5.00614931e+13
x_V119_Phase0   7.94413379e-01 +/- 5.12793272e+13
x_V120_Phase0   1.35223952e-01 +/- 2.94929770e+13
x_V121_Phase0   8.64754264e-01 +/- 3.78889316e+13
x_V122_Phase0   3.66124329e-01 +/- 4.60691281e+13
x_V123_Phase0   6.33861182e-01 +/- 5.00042621e+13
