Results written: Sun Mar 22 12:18:37 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.03575706
Contributions  0.03565702
Restraints     0.00010004
Chi2           3.87064093
Reduced Chi2   0.01312082
Rw             0.18908906

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O72_Phase0    2.69476643e-02 +/- 2.20194080e+12
x_O732_Phase0   1.99410255e-01 +/- 1.38676737e+13
x_O734_Phase0   2.99485072e-01 +/- 1.66639205e+13
x_O736_Phase0   7.98930544e-01 +/- 2.20152512e+13
x_O738_Phase0   7.00936078e-01 +/- 2.22727130e+13
x_O739_Phase0   2.98840324e-01 +/- 1.80384877e+13
x_O744_Phase0   2.54921338e-01 +/- 1.57246260e+13
x_O746_Phase0   7.55671455e-01 +/- 2.21173447e+13
x_O747_Phase0   2.44285888e-01 +/- 1.63167624e+13
x_O74_Phase0    4.71657101e-01 +/- 1.82047653e+13
x_O76_Phase0    9.72596619e-01 +/- 1.90869055e+13
x_O78_Phase0    5.26539727e-01 +/- 2.02880412e+13
x_O79_Phase0    4.73514513e-01 +/- 1.96981808e+13
x_O96_Phase0    9.82186292e-02 +/- 7.36751987e+12
x_O98_Phase0    4.02535144e-01 +/- 1.72709824e+13
x_V0_Phase0     4.38179098e-02 +/- 4.29511646e+12
x_V100_Phase0   8.73491701e-01 +/- 1.38794718e+13
x_V101_Phase0   1.26718189e-01 +/- 9.44631559e+12
x_V102_Phase0   6.29234234e-01 +/- 1.61122709e+13
x_V103_Phase0   3.70491361e-01 +/- 1.80557676e+13
x_V119_Phase0   7.94531841e-01 +/- 2.18308557e+13
x_V120_Phase0   1.34720267e-01 +/- 1.03175607e+13
x_V121_Phase0   8.65283337e-01 +/- 1.52977229e+13
x_V122_Phase0   3.66367343e-01 +/- 1.67749941e+13
x_V123_Phase0   6.33668902e-01 +/- 2.11139256e+13
x_V124_Phase0   8.67321259e-01 +/- 1.94596073e+13
x_V126_Phase0   6.29402598e-01 +/- 1.64990336e+13
x_V127_Phase0   3.70520723e-01 +/- 1.56275541e+13
x_V12_Phase0    2.80845324e-01 +/- 1.49572948e+13
x_V131_Phase0   1.26034745e-01 +/- 1.02476115e+13
x_V132_Phase0   1.25919415e-01 +/- 9.61683207e+12
x_V138_Phase0   7.94494467e-01 +/- 1.93864768e+13
x_V140_Phase0   7.03972213e-01 +/- 2.17238765e+13
x_V141_Phase0   2.96023216e-01 +/- 1.78092178e+13
x_V144_Phase0   2.83992016e-02 +/- 2.47366738e+12
x_V146_Phase0   4.75886986e-01 +/- 1.58637307e+13
x_V147_Phase0   5.24107990e-01 +/- 1.57982996e+13
x_V148_Phase0   9.78921059e-01 +/- 1.21933154e+13
x_V149_Phase0   2.10715299e-02 +/- 1.93433507e+12
x_V150_Phase0   5.28927417e-01 +/- 1.59804940e+13
x_V151_Phase0   4.71068797e-01 +/- 1.61227930e+13
x_V168_Phase0   3.67151893e-02 +/- 3.05571443e+12
x_V170_Phase0   4.57884433e-01 +/- 6.42020839e+12
x_V172_Phase0   9.62827826e-01 +/- 1.26837204e+13
x_V173_Phase0   3.70614834e-02 +/- 3.42820234e+12
x_V174_Phase0   5.37301990e-01 +/- 1.65907027e+13
x_V175_Phase0   4.62660970e-01 +/- 1.60995098e+13
x_V192_Phase0   2.10627991e-01 +/- 7.09219941e+12
x_V194_Phase0   2.83021294e-01 +/- 6.57914754e+12
x_V196_Phase0   7.86784957e-01 +/- 1.57075494e+13
x_V197_Phase0   2.13460654e-01 +/- 1.37488032e+13
x_V198_Phase0   7.14436982e-01 +/- 1.47998380e+13
x_V199_Phase0   2.85329553e-01 +/- 1.69061061e+13
x_V1_Phase0     9.56216571e-01 +/- 2.18798442e+13
x_V206_Phase0   7.06768718e-01 +/- 2.15248227e+13
x_V207_Phase0   2.93189886e-01 +/- 1.57050624e+13
x_V20_Phase0    6.20914292e-01 +/- 2.12358177e+13
x_V213_Phase0   3.50432209e-02 +/- 2.74969454e+12
x_V26_Phase0    1.21665437e-01 +/- 6.26230587e+12
x_V2_Phase0     4.52560263e-01 +/- 1.55360715e+13
x_V34_Phase0    4.64268625e-01 +/- 1.60389041e+13
x_V35_Phase0    5.35734675e-01 +/- 1.59249016e+13
x_V3_Phase0     5.47454247e-01 +/- 1.62307178e+13
x_V42_Phase0    1.98585391e-01 +/- 1.09371201e+13
