Results written: Tue Mar 10 04:16:53 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01725004
Contributions  0.01592402
Restraints     0.00132602
Chi2           2.79396287
Reduced Chi2   0.00947106
Rw             0.13125885

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_V100_Phase0   8.73545182e-01 +/- 3.18587032e+13
x_V101_Phase0   1.26648454e-01 +/- 2.21985139e+13
x_V102_Phase0   6.28794007e-01 +/- 3.81365192e+13
x_V103_Phase0   3.70778554e-01 +/- 3.89923906e+13
x_V119_Phase0   7.94546098e-01 +/- 4.75802674e+13
x_V120_Phase0   1.34623876e-01 +/- 2.19968755e+13
x_V121_Phase0   8.65377740e-01 +/- 3.46375425e+13
x_V122_Phase0   3.66325616e-01 +/- 3.79406120e+13
x_V123_Phase0   6.33701327e-01 +/- 4.68691096e+13
x_V124_Phase0   8.67458370e-01 +/- 4.33118660e+13
x_V126_Phase0   6.29023933e-01 +/- 3.60288816e+13
x_V127_Phase0   3.70852691e-01 +/- 3.41267550e+13
x_V12_Phase0    2.80939786e-01 +/- 3.29311526e+13
x_V131_Phase0   1.26066248e-01 +/- 2.29038831e+13
x_V132_Phase0   1.25738351e-01 +/- 2.08920059e+13
x_V138_Phase0   7.94761722e-01 +/- 4.32178526e+13
x_V140_Phase0   7.03897611e-01 +/- 4.71767556e+13
x_V141_Phase0   2.96083369e-01 +/- 3.79844662e+13
x_V144_Phase0   2.79287953e-02 +/- 5.18668366e+12
x_V146_Phase0   4.76366058e-01 +/- 3.55670753e+13
x_V147_Phase0   5.23622586e-01 +/- 3.57192113e+13
x_V148_Phase0   9.79953478e-01 +/- 2.90873431e+13
x_V149_Phase0   2.00389245e-02 +/- 3.90255987e+12
x_V150_Phase0   5.29081565e-01 +/- 3.53777673e+13
x_V151_Phase0   4.70919084e-01 +/- 3.58080954e+13
x_V168_Phase0   3.62091000e-02 +/- 6.18303845e+12
x_V170_Phase0   4.58228976e-01 +/- 1.62804520e+13
x_V172_Phase0   9.63606628e-01 +/- 2.44108656e+13
x_V173_Phase0   3.61696191e-02 +/- 5.91092215e+12
x_V174_Phase0   5.37150344e-01 +/- 3.68689480e+13
x_V175_Phase0   4.62904793e-01 +/- 3.67219270e+13
x_V192_Phase0   2.09775117e-01 +/- 1.70265599e+13
x_V194_Phase0   2.82632678e-01 +/- 1.63826689e+13
x_V196_Phase0   7.86865033e-01 +/- 3.58278185e+13
x_V197_Phase0   2.13359214e-01 +/- 3.16313317e+13
x_V198_Phase0   7.13899855e-01 +/- 4.00383039e+13
x_V199_Phase0   2.85205508e-01 +/- 3.67392202e+13
x_V1_Phase0     9.56089946e-01 +/- 4.80742645e+13
x_V206_Phase0   7.06842318e-01 +/- 4.68125191e+13
x_V207_Phase0   2.93058817e-01 +/- 3.33030545e+13
x_V20_Phase0    6.20962497e-01 +/- 4.62719677e+13
x_V213_Phase0   3.49564827e-02 +/- 7.09599258e+12
x_V26_Phase0    1.21164985e-01 +/- 1.50096666e+13
x_V2_Phase0     4.52154697e-01 +/- 3.51667339e+13
x_V34_Phase0    4.64056044e-01 +/- 3.44366349e+13
x_V35_Phase0    5.35998328e-01 +/- 3.59626090e+13
x_V3_Phase0     5.47916074e-01 +/- 3.61151993e+13
x_V42_Phase0    1.98403394e-01 +/- 2.49616776e+13
x_V43_Phase0    8.01426477e-01 +/- 4.31830013e+13
x_V48_Phase0    3.70726832e-02 +/- 8.06956431e+12
x_V49_Phase0    9.62852809e-01 +/- 3.06906539e+13
x_V4_Phase0     9.59362255e-01 +/- 4.80111698e+13
x_V50_Phase0    4.62607363e-01 +/- 2.97441786e+13
x_V51_Phase0    5.37374278e-01 +/- 4.28565642e+13
x_V52_Phase0    9.63235078e-01 +/- 3.09753312e+13
x_V53_Phase0    3.68789203e-02 +/- 7.40100214e+12
x_V54_Phase0    5.37765962e-01 +/- 1.91509742e+13
x_V5_Phase0     4.07452616e-02 +/- 7.41051820e+12
x_V6_Phase0     5.41191414e-01 +/- 1.76373318e+13
x_V72_Phase0    2.01449258e-01 +/- 2.33705093e+13
x_V73_Phase0    7.98541982e-01 +/- 3.16886416e+13
x_V74_Phase0    3.05512196e-01 +/- 3.59519055e+13
x_V76_Phase0    8.04655330e-01 +/- 4.41920081e+13
x_V78_Phase0    6.98329266e-01 +/- 1.66326272e+13
x_V82_Phase0    9.68702512e-01 +/- 4.10044401e+13
x_V83_Phase0    3.13947168e-02 +/- 5.51771068e+12
x_V84_Phase0    3.08169431e-02 +/- 5.88113860e+12
x_V91_Phase0    3.71110227e-01 +/- 4.05276912e+13
x_V96_Phase0    1.28621366e-01 +/- 2.08821352e+13
x_V97_Phase0    8.71347155e-01 +/- 3.53321553e+13
x_V98_Phase0    3.71157253e-01 +/- 2.01470777e+13
x_V9_Phase0     7.85057377e-01 +/- 4.23714717e+13
x_ZR0_Phase0    1.07510643e-03 +/- 1.95833875e+11
x_ZR100_Phase0  5.01585241e-01 +/- 4.32441389e+13
x_ZR101_Phase0  4.98593427e-01 +/- 4.33740195e+13
x_ZR102_Phase0  4.94502348e-01 +/- 4.26720572e+13
x_ZR103_Phase0  5.03943421e-01 +/- 4.24995523e+13
x_ZR104_Phase0  4.46309710e-04 +/- 8.82256449e+10
x_ZR105_Phase0  9.99552475e-01 +/- 4.52988674e+13
x_ZR106_Phase0  9.97650004e-01 +/- 4.38457168e+13
x_ZR107_Phase0  2.38441945e-03 +/- 4.84613132e+11
x_ZR10_Phase0   9.93038396e-01 +/- 4.51516781e+13
x_ZR11_Phase0   7.01547426e-03 +/- 1.38939065e+12
x_ZR12_Phase0   2.74086009e-03 +/- 5.60492736e+11
x_ZR13_Phase0   9.97155640e-01 +/- 4.54623304e+13
x_ZR14_Phase0   5.03860768e-01 +/- 4.36465293e+13
x_ZR15_Phase0   4.96702718e-01 +/- 4.38746764e+13
x_ZR16_Phase0   3.37808401e-01 +/- 3.97944194e+13
x_ZR17_Phase0   6.62340724e-01 +/- 4.51808780e+13
x_ZR18_Phase0   6.62461225e-01 +/- 4.48522388e+13
x_ZR19_Phase0   3.37564937e-01 +/- 3.80395635e+13
x_ZR1_Phase0    9.99020833e-01 +/- 4.47272603e+13
x_ZR20_Phase0   8.34384446e-01 +/- 4.54683326e+13
x_ZR21_Phase0   1.65538006e-01 +/- 2.84432787e+13
x_ZR22_Phase0   1.63737231e-01 +/- 2.59267865e+13
x_ZR23_Phase0   8.36160672e-01 +/- 4.53386992e+13
x_ZR24_Phase0   4.99743167e-01 +/- 4.53486900e+13
x_ZR25_Phase0   9.99896126e-01 +/- 5.02252960e+13
x_ZR26_Phase0   5.00036942e-01 +/- 4.66035303e+13
x_ZR27_Phase0   1.01491752e-04 +/- 1.88521388e+10
x_ZR28_Phase0   1.64479226e-01 +/- 2.59926207e+13
x_ZR29_Phase0   8.35191708e-01 +/- 4.43132177e+13
x_ZR2_Phase0    4.95998683e-01 +/- 4.18847000e+13
x_ZR30_Phase0   3.34799271e-01 +/- 3.92515545e+13
x_ZR31_Phase0   6.65398990e-01 +/- 4.49647978e+13
x_ZR32_Phase0   8.36727598e-01 +/- 4.41661685e+13
x_ZR33_Phase0   1.63638461e-01 +/- 2.82490641e+13
x_ZR34_Phase0   6.64939909e-01 +/- 4.47548409e+13
x_ZR35_Phase0   3.34890651e-01 +/- 3.69115161e+13
x_ZR36_Phase0   1.70491631e-01 +/- 2.52273163e+13
x_ZR37_Phase0   8.29389043e-01 +/- 4.40870360e+13
x_ZR38_Phase0   3.32920062e-01 +/- 3.75829326e+13
x_ZR39_Phase0   6.67140770e-01 +/- 4.47217591e+13
x_ZR3_Phase0    5.03998066e-01 +/- 4.41619968e+13
x_ZR40_Phase0   8.38313299e-01 +/- 4.46559946e+13
x_ZR41_Phase0   1.61599923e-01 +/- 2.68301290e+13
x_ZR42_Phase0   6.65956911e-01 +/- 4.42480197e+13
x_ZR43_Phase0   3.33580259e-01 +/- 3.74595334e+13
x_ZR44_Phase0   3.32818341e-01 +/- 3.88331645e+13
x_ZR45_Phase0   6.67573858e-01 +/- 4.51830668e+13
x_ZR46_Phase0   8.30750868e-01 +/- 4.42058374e+13
x_ZR47_Phase0   1.68916572e-01 +/- 2.68907252e+13
x_ZR48_Phase0   1.70981187e-01 +/- 2.54911057e+13
x_ZR49_Phase0   8.28881814e-01 +/- 4.43673697e+13
x_ZR4_Phase0    9.96956933e-01 +/- 4.33300852e+13
x_ZR50_Phase0   6.67308347e-01 +/- 4.47250541e+13
x_ZR51_Phase0   3.31942393e-01 +/- 3.80395832e+13
x_ZR52_Phase0   3.35866045e-01 +/- 3.90360661e+13
x_ZR53_Phase0   6.64220621e-01 +/- 4.40230167e+13
x_ZR54_Phase0   6.61394317e-01 +/- 4.43809525e+13
x_ZR55_Phase0   3.37689707e-01 +/- 3.79977919e+13
x_ZR56_Phase0   8.35848998e-01 +/- 4.53320986e+13
x_ZR57_Phase0   1.64307748e-01 +/- 2.85476529e+13
x_ZR58_Phase0   1.61563103e-01 +/- 2.59731729e+13
x_ZR59_Phase0   8.38568894e-01 +/- 4.52516382e+13
x_ZR5_Phase0    2.77462660e-03 +/- 5.75365056e+11
x_ZR60_Phase0   5.71396938e-03 +/- 9.98992814e+11
x_ZR61_Phase0   9.93970291e-01 +/- 4.49420344e+13
x_ZR62_Phase0   4.97977568e-01 +/- 4.29253882e+13
x_ZR63_Phase0   5.02227857e-01 +/- 4.35527256e+13
x_ZR64_Phase0   9.98277933e-01 +/- 4.45284688e+13
x_ZR65_Phase0   2.08345924e-03 +/- 4.34559182e+11
x_ZR66_Phase0   5.05690644e-01 +/- 4.37497327e+13
x_ZR67_Phase0   4.93938077e-01 +/- 4.28092436e+13
x_ZR68_Phase0   1.61182492e-01 +/- 2.80274116e+13
x_ZR69_Phase0   8.39083477e-01 +/- 4.47463656e+13
x_ZR6_Phase0    5.00217460e-01 +/- 4.23205115e+13
x_ZR70_Phase0   6.60172016e-01 +/- 4.38661078e+13
x_ZR71_Phase0   3.39961722e-01 +/- 3.81983983e+13
x_ZR72_Phase0   3.40580094e-01 +/- 3.84689282e+13
x_ZR73_Phase0   6.59608038e-01 +/- 4.50305355e+13
x_ZR74_Phase0   8.41778006e-01 +/- 4.52717707e+13
x_ZR75_Phase0   1.58356633e-01 +/- 2.59935113e+13
x_ZR76_Phase0   3.33675518e-01 +/- 3.79012507e+13
x_ZR77_Phase0   6.66461233e-01 +/- 4.45927133e+13
x_ZR78_Phase0   6.68174057e-01 +/- 4.46020047e+13
x_ZR79_Phase0   3.32034248e-01 +/- 3.56746663e+13
x_ZR7_Phase0    4.99896404e-01 +/- 4.19314727e+13
x_ZR80_Phase0   8.33167732e-01 +/- 4.51966468e+13
x_ZR81_Phase0   1.66813797e-01 +/- 2.55733855e+13
x_ZR82_Phase0   1.69286392e-01 +/- 2.75834767e+13
x_ZR83_Phase0   8.30824522e-01 +/- 4.40203951e+13
x_ZR84_Phase0   1.64839856e-01 +/- 2.59738848e+13
x_ZR85_Phase0   8.34999417e-01 +/- 4.53242475e+13
x_ZR86_Phase0   3.34817976e-01 +/- 3.95787962e+13
x_ZR87_Phase0   6.65876624e-01 +/- 4.40420014e+13
x_ZR88_Phase0   8.35283096e-01 +/- 4.44429054e+13
x_ZR89_Phase0   1.64591893e-01 +/- 2.53527880e+13
x_ZR8_Phase0    4.93513045e-01 +/- 4.27630190e+13
