Results written: Wed Mar 11 09:34:44 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01895148
Contributions  0.01893037
Restraints     0.00002111
Chi2           2.86505653
Reduced Chi2   0.00442822
Rw             0.13766231

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O593_Phase0   1.63250080e-01 +/- 3.60825964e+13
x_O594_Phase0   6.62559989e-01 +/- 4.71125827e+13
x_O595_Phase0   3.37440010e-01 +/- 4.34847263e+13
x_O5_Phase0     3.97131850e-02 +/- 1.28242602e+13
x_O612_Phase0   2.54908928e-01 +/- 4.13071647e+13
x_O613_Phase0   7.45091070e-01 +/- 4.52877894e+13
x_O614_Phase0   2.47469317e-01 +/- 4.08280896e+13
x_O615_Phase0   7.52530677e-01 +/- 4.58065120e+13
x_O616_Phase0   7.47242621e-01 +/- 4.57821993e+13
x_O617_Phase0   2.52757374e-01 +/- 4.06508116e+13
x_O618_Phase0   7.55841441e-01 +/- 4.70621695e+13
x_O619_Phase0   2.44158553e-01 +/- 4.09119398e+13
x_O636_Phase0   2.00595550e-01 +/- 3.90787416e+13
x_O637_Phase0   7.99404456e-01 +/- 4.87244390e+13
x_O638_Phase0   3.00245216e-01 +/- 4.39756346e+13
x_O639_Phase0   6.99754792e-01 +/- 4.79669141e+13
x_O640_Phase0   8.00287203e-01 +/- 4.81055495e+13
x_O641_Phase0   1.99712803e-01 +/- 4.08988888e+13
x_O642_Phase0   6.99936707e-01 +/- 4.77452756e+13
x_O643_Phase0   3.00063293e-01 +/- 4.25502688e+13
x_O660_Phase0   1.43308269e-01 +/- 3.18223423e+13
x_O661_Phase0   8.56691731e-01 +/- 4.81634277e+13
x_O662_Phase0   3.55961901e-01 +/- 4.46570415e+13
x_O663_Phase0   6.44038104e-01 +/- 4.78204449e+13
x_O664_Phase0   8.55737253e-01 +/- 4.73622742e+13
x_O665_Phase0   1.44237613e-01 +/- 3.24505431e+13
x_O666_Phase0   6.44476243e-01 +/- 4.75535271e+13
x_O667_Phase0   3.55523760e-01 +/- 4.47141743e+13
x_O684_Phase0   7.10032503e-02 +/- 2.06787084e+13
x_O685_Phase0   9.28996741e-01 +/- 4.70675496e+13
x_O686_Phase0   4.30995917e-01 +/- 4.64948595e+13
x_O687_Phase0   5.69004175e-01 +/- 4.78461597e+13
x_O688_Phase0   9.30233444e-01 +/- 4.77553818e+13
x_O689_Phase0   6.98212182e-02 +/- 1.98376107e+13
x_O690_Phase0   5.69853436e-01 +/- 4.62571280e+13
x_O691_Phase0   4.30146570e-01 +/- 4.57195467e+13
x_O6_Phase0     5.40625323e-01 +/- 4.75440190e+13
x_O702_Phase0   6.99126683e-01 +/- 4.97528627e+13
x_O703_Phase0   3.00873314e-01 +/- 4.51000256e+13
x_O708_Phase0   1.36680935e-01 +/- 3.22864532e+13
x_O709_Phase0   8.63319066e-01 +/- 4.79899466e+13
x_O710_Phase0   3.63451847e-01 +/- 3.93107219e+13
x_O711_Phase0   6.36548693e-01 +/- 4.73214885e+13
x_O712_Phase0   8.63826478e-01 +/- 4.80106551e+13
x_O713_Phase0   1.36165968e-01 +/- 3.10796622e+13
x_O714_Phase0   6.36594188e-01 +/- 4.73054602e+13
x_O715_Phase0   3.63405822e-01 +/- 4.54658070e+13
x_O72_Phase0    2.66991690e-02 +/- 8.50534235e+12
x_O732_Phase0   1.99146354e-01 +/- 3.70126008e+13
x_O733_Phase0   8.00853646e-01 +/- 4.78429403e+13
x_O734_Phase0   2.99680973e-01 +/- 4.28789888e+13
x_O735_Phase0   7.00319023e-01 +/- 4.76741954e+13
x_O736_Phase0   7.99029245e-01 +/- 5.03910617e+13
x_O737_Phase0   2.00970755e-01 +/- 3.93267691e+13
x_O738_Phase0   7.01157208e-01 +/- 5.04049602e+13
x_O739_Phase0   2.98817197e-01 +/- 4.37215851e+13
x_O73_Phase0    9.73303873e-01 +/- 4.74954363e+13
x_O744_Phase0   2.54966087e-01 +/- 4.20411620e+13
x_O745_Phase0   7.45033910e-01 +/- 4.89442880e+13
x_O746_Phase0   7.55663479e-01 +/- 4.90121105e+13
x_O747_Phase0   2.44251243e-01 +/- 4.15272905e+13
x_O74_Phase0    4.71697362e-01 +/- 4.30992089e+13
x_O75_Phase0    5.28305163e-01 +/- 4.62783113e+13
x_O76_Phase0    9.72699250e-01 +/- 4.76353816e+13
x_O77_Phase0    2.73007485e-02 +/- 8.91945963e+12
x_O78_Phase0    5.26416628e-01 +/- 4.65258743e+13
x_O79_Phase0    4.73646604e-01 +/- 4.58219074e+13
x_O7_Phase0     4.59374673e-01 +/- 4.70746338e+13
x_O96_Phase0    9.81606687e-02 +/- 2.60802573e+13
x_O97_Phase0    9.01839330e-01 +/- 4.60983580e+13
x_O98_Phase0    4.02541680e-01 +/- 4.61335968e+13
x_O99_Phase0    5.97458319e-01 +/- 4.74046854e+13
x_V0_Phase0     4.40556161e-02 +/- 1.29210589e+13
x_V100_Phase0   8.73304494e-01 +/- 3.29322440e+13
x_V101_Phase0   1.26900986e-01 +/- 2.78344194e+13
x_V102_Phase0   6.29360644e-01 +/- 3.72144566e+13
x_V103_Phase0   3.70717812e-01 +/- 4.24443080e+13
x_V119_Phase0   7.94597695e-01 +/- 4.93589382e+13
x_V120_Phase0   1.35001027e-01 +/- 2.82850541e+13
x_V121_Phase0   8.65254800e-01 +/- 3.50669653e+13
x_V122_Phase0   3.66261401e-01 +/- 4.04635508e+13
x_V123_Phase0   6.33726372e-01 +/- 4.82546944e+13
x_V124_Phase0   8.67444571e-01 +/- 4.83295033e+13
x_V125_Phase0   1.32555450e-01 +/- 3.21265485e+13
x_V126_Phase0   6.29335353e-01 +/- 3.75453124e+13
x_V127_Phase0   3.70542240e-01 +/- 3.71618216e+13
x_V12_Phase0    2.80810306e-01 +/- 4.30940565e+13
x_V131_Phase0   1.26076785e-01 +/- 3.03520088e+13
x_V132_Phase0   1.25320092e-01 +/- 3.01184624e+13
x_V133_Phase0   8.74679931e-01 +/- 4.81540662e+13
x_V138_Phase0   7.94686661e-01 +/- 4.84236989e+13
x_V139_Phase0   2.05313311e-01 +/- 3.98160923e+13
x_V13_Phase0    7.19189680e-01 +/- 4.77056146e+13
x_V140_Phase0   7.03740295e-01 +/- 4.80085118e+13
x_V141_Phase0   2.96191223e-01 +/- 4.41301189e+13
x_V144_Phase0   2.79506502e-02 +/- 9.91530849e+12
x_V145_Phase0   9.72049353e-01 +/- 2.82270921e+13
x_V146_Phase0   4.76176054e-01 +/- 3.74760695e+13
x_V147_Phase0   5.23821633e-01 +/- 3.76989466e+13
x_V148_Phase0   9.79452597e-01 +/- 2.70240835e+13
x_V149_Phase0   2.05364490e-02 +/- 6.42883509e+12
x_V150_Phase0   5.28995623e-01 +/- 3.78118888e+13
x_V151_Phase0   4.71012702e-01 +/- 3.80863823e+13
x_V168_Phase0   3.63851380e-02 +/- 9.30565389e+12
x_V169_Phase0   9.63609569e-01 +/- 2.95317410e+13
x_V170_Phase0   4.58376005e-01 +/- 3.34449443e+13
x_V171_Phase0   5.41619956e-01 +/- 3.60093066e+13
x_V172_Phase0   9.63469796e-01 +/- 2.90462778e+13
x_V173_Phase0   3.64335512e-02 +/- 1.04330660e+13
x_V174_Phase0   5.37185299e-01 +/- 3.91319691e+13
x_V175_Phase0   4.62800853e-01 +/- 3.79245477e+13
x_V192_Phase0   2.09910948e-01 +/- 3.38541814e+13
x_V193_Phase0   7.90089045e-01 +/- 3.71604866e+13
x_V194_Phase0   2.82619858e-01 +/- 3.56653732e+13
x_V195_Phase0   7.17380146e-01 +/- 3.74617784e+13
x_V196_Phase0   7.86715360e-01 +/- 3.57397437e+13
x_V197_Phase0   2.13542112e-01 +/- 3.87309706e+13
