Results written: Wed Feb 11 20:22:22 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.02065118
Contributions  0.02050356
Restraints     0.00014763
Chi2           2.31408499
Reduced Chi2   0.00377502
Rw             0.14368543

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O689_Phase0   6.93310801e-02 +/- 1.70899661e+13
x_O690_Phase0   5.67968309e-01 +/- 4.08578736e+13
x_O691_Phase0   4.32031507e-01 +/- 4.04017155e+13
x_O6_Phase0     5.41025367e-01 +/- 4.19101836e+13
x_O702_Phase0   6.99106756e-01 +/- 4.41472128e+13
x_O703_Phase0   3.00871651e-01 +/- 4.00959811e+13
x_O708_Phase0   1.35699613e-01 +/- 3.10092995e+13
x_O709_Phase0   8.64300428e-01 +/- 4.18816046e+13
x_O710_Phase0   3.63746635e-01 +/- 3.96250427e+13
x_O711_Phase0   6.36254757e-01 +/- 4.38572147e+13
x_O712_Phase0   8.63816814e-01 +/- 4.20242153e+13
x_O713_Phase0   1.36202418e-01 +/- 2.87192234e+13
x_O714_Phase0   6.36586154e-01 +/- 4.20615757e+13
x_O715_Phase0   3.63493948e-01 +/- 4.05387112e+13
x_O719_Phase0   2.36860134e-01 +/- 3.87277702e+13
x_O72_Phase0    2.48747163e-02 +/- 7.34106693e+12
x_O732_Phase0   1.97732639e-01 +/- 3.61335813e+13
x_O733_Phase0   8.02385146e-01 +/- 4.26218609e+13
x_O734_Phase0   3.00915579e-01 +/- 3.94928337e+13
x_O735_Phase0   6.99084310e-01 +/- 4.21298119e+13
x_O736_Phase0   7.99449468e-01 +/- 4.41484646e+13
x_O737_Phase0   2.00625523e-01 +/- 3.48036432e+13
x_O738_Phase0   7.00681184e-01 +/- 4.41790669e+13
x_O739_Phase0   2.99294635e-01 +/- 4.03849317e+13
x_O73_Phase0    9.75125533e-01 +/- 4.17240937e+13
x_O744_Phase0   2.54849378e-01 +/- 3.81401031e+13
x_O745_Phase0   7.44978659e-01 +/- 4.41574061e+13
x_O746_Phase0   7.55304657e-01 +/- 4.42925107e+13
x_O747_Phase0   2.43946537e-01 +/- 3.79130672e+13
x_O748_Phase0   4.92390931e-01 +/- 4.31389607e+13
x_O74_Phase0    4.72529928e-01 +/- 4.08870787e+13
x_O753_Phase0   7.77923977e-03 +/- 2.17127051e+12
x_O754_Phase0   8.87855507e-03 +/- 2.58840690e+12
x_O75_Phase0    5.27470189e-01 +/- 4.10496004e+13
x_O76_Phase0    9.73350240e-01 +/- 4.18016225e+13
x_O77_Phase0    2.66436913e-02 +/- 8.08856184e+12
x_O78_Phase0    5.25317456e-01 +/- 4.14950224e+13
x_O79_Phase0    4.74862785e-01 +/- 4.12965275e+13
x_O7_Phase0     4.58956270e-01 +/- 4.16359171e+13
x_O96_Phase0    9.95647205e-02 +/- 2.41168819e+13
x_O97_Phase0    9.00378495e-01 +/- 4.13367559e+13
x_O98_Phase0    4.02600329e-01 +/- 4.03684172e+13
