Results written: Fri Mar  6 16:06:21 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01738092
Contributions  0.01738092
Restraints     0.00000000
Chi2           3.60449438
Reduced Chi2   0.00539595
Rw             0.13183671

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O588_Phase0   1.63394546e-01 +/- 7.61886797e+12
x_O589_Phase0   8.36604789e-01 +/- 1.04160788e+13
x_O590_Phase0   3.36708280e-01 +/- 9.58101635e+12
x_O591_Phase0   6.63292196e-01 +/- 1.02724325e+13
x_O592_Phase0   8.36672473e-01 +/- 1.04490717e+13
x_O593_Phase0   1.63328230e-01 +/- 7.27537801e+12
x_O594_Phase0   6.62646348e-01 +/- 1.02304894e+13
x_O595_Phase0   3.37352798e-01 +/- 9.57237083e+12
x_O5_Phase0     3.97505791e-02 +/- 2.70846303e+12
x_O612_Phase0   2.55479636e-01 +/- 8.61482191e+12
x_O613_Phase0   7.44468477e-01 +/- 9.98693198e+12
x_O614_Phase0   2.46888705e-01 +/- 8.55852924e+12
x_O615_Phase0   7.53106615e-01 +/- 9.88118838e+12
x_O616_Phase0   7.46748758e-01 +/- 9.72841024e+12
x_O617_Phase0   2.53250819e-01 +/- 8.42971509e+12
x_O618_Phase0   7.56157861e-01 +/- 1.00525646e+13
x_O619_Phase0   2.43842047e-01 +/- 8.45198870e+12
x_O636_Phase0   2.00564483e-01 +/- 8.47601034e+12
x_O637_Phase0   7.99436175e-01 +/- 1.04447759e+13
x_O638_Phase0   3.00318596e-01 +/- 9.49722190e+12
x_O639_Phase0   6.99681858e-01 +/- 1.03649804e+13
x_O640_Phase0   8.00437138e-01 +/- 1.03942399e+13
x_O641_Phase0   1.99563752e-01 +/- 8.01822282e+12
x_O642_Phase0   6.99813615e-01 +/- 1.03874377e+13
x_O643_Phase0   3.00186183e-01 +/- 9.24031751e+12
x_O660_Phase0   1.43359793e-01 +/- 7.04370223e+12
x_O661_Phase0   8.56641011e-01 +/- 1.04681151e+13
x_O662_Phase0   3.55959008e-01 +/- 9.72337465e+12
x_O663_Phase0   6.44041998e-01 +/- 1.04145672e+13
x_O664_Phase0   8.55725631e-01 +/- 1.04456447e+13
x_O665_Phase0   1.44250338e-01 +/- 7.07531245e+12
x_O666_Phase0   6.44500758e-01 +/- 1.03892323e+13
x_O667_Phase0   3.55487814e-01 +/- 9.77241382e+12
x_O684_Phase0   7.09463441e-02 +/- 4.31842470e+12
x_O685_Phase0   9.29053513e-01 +/- 1.03920385e+13
x_O686_Phase0   4.30952447e-01 +/- 9.94890316e+12
x_O687_Phase0   5.69047660e-01 +/- 1.03539613e+13
x_O688_Phase0   9.30193069e-01 +/- 1.03999957e+13
x_O689_Phase0   6.98541974e-02 +/- 4.59578628e+12
x_O690_Phase0   5.69607852e-01 +/- 1.00983481e+13
x_O691_Phase0   4.30489198e-01 +/- 9.83040225e+12
x_O6_Phase0     5.40591680e-01 +/- 1.01165701e+13
x_O702_Phase0   6.99127176e-01 +/- 1.05567004e+13
x_O703_Phase0   3.00873086e-01 +/- 9.51435806e+12
x_O708_Phase0   1.36814639e-01 +/- 6.61269661e+12
x_O709_Phase0   8.63185443e-01 +/- 1.04456978e+13
x_O710_Phase0   3.63430472e-01 +/- 9.85466933e+12
x_O711_Phase0   6.36570250e-01 +/- 1.02993332e+13
x_O712_Phase0   8.63800449e-01 +/- 1.04161752e+13
x_O713_Phase0   1.36194649e-01 +/- 7.21460453e+12
x_O714_Phase0   6.36594242e-01 +/- 1.03107054e+13
x_O715_Phase0   3.63405885e-01 +/- 9.78917641e+12
x_O72_Phase0    2.69948052e-02 +/- 1.66255033e+12
