Results written: Tue Mar  3 12:06:35 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01692013
Contributions  0.01673835
Restraints     0.00018178
Chi2           3.41787230
Reduced Chi2   0.00528265
Rw             0.13006319

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O567_Phase0   5.41262953e-01 +/- 2.72841263e+13
x_O568_Phase0   9.60823496e-01 +/- 2.87371852e+13
x_O569_Phase0   3.91772280e-02 +/- 6.74681062e+12
x_O570_Phase0   5.40605114e-01 +/- 2.69947927e+13
x_O571_Phase0   4.59395022e-01 +/- 2.68534709e+13
x_O576_Phase0   2.23991395e-01 +/- 2.39702309e+13
x_O577_Phase0   7.76008337e-01 +/- 2.84873375e+13
x_O584_Phase0   6.39868763e-01 +/- 2.81755364e+13
x_O588_Phase0   1.63274184e-01 +/- 2.00194032e+13
x_O589_Phase0   8.36725512e-01 +/- 2.75536968e+13
x_O590_Phase0   3.36651382e-01 +/- 2.51168210e+13
x_O591_Phase0   6.63348831e-01 +/- 2.72901306e+13
x_O592_Phase0   8.36679044e-01 +/- 2.75570464e+13
x_O593_Phase0   1.63321395e-01 +/- 1.97093644e+13
x_O594_Phase0   6.62560417e-01 +/- 2.74786713e+13
x_O595_Phase0   3.37495058e-01 +/- 2.53044839e+13
x_O5_Phase0     3.97191779e-02 +/- 6.72911763e+12
x_O612_Phase0   2.55379671e-01 +/- 2.37922389e+13
x_O613_Phase0   7.44619945e-01 +/- 2.66238834e+13
x_O614_Phase0   2.47695349e-01 +/- 2.24269431e+13
x_O615_Phase0   7.52283367e-01 +/- 2.62232743e+13
x_O616_Phase0   7.47446123e-01 +/- 2.57590189e+13
x_O617_Phase0   2.52553569e-01 +/- 2.27894462e+13
x_O618_Phase0   7.55735513e-01 +/- 2.68838645e+13
x_O619_Phase0   2.44253120e-01 +/- 2.34219211e+13
x_O636_Phase0   2.00481249e-01 +/- 2.18138053e+13
x_O637_Phase0   7.99519064e-01 +/- 2.77715346e+13
x_O638_Phase0   3.00392094e-01 +/- 2.56866165e+13
x_O639_Phase0   6.99608275e-01 +/- 2.76230135e+13
x_O640_Phase0   8.00411673e-01 +/- 2.77821139e+13
x_O641_Phase0   1.99588797e-01 +/- 2.26928347e+13
x_O642_Phase0   6.99814352e-01 +/- 2.77209176e+13
x_O643_Phase0   3.00185481e-01 +/- 2.51139063e+13
x_O660_Phase0   1.43319170e-01 +/- 1.84686243e+13
x_O661_Phase0   8.56681107e-01 +/- 2.78966809e+13
x_O662_Phase0   3.55965642e-01 +/- 2.57908940e+13
x_O663_Phase0   6.44034686e-01 +/- 2.76161484e+13
x_O664_Phase0   8.55731331e-01 +/- 2.78073920e+13
x_O665_Phase0   1.44238292e-01 +/- 1.92554459e+13
x_O666_Phase0   6.44442858e-01 +/- 2.78565103e+13
x_O667_Phase0   3.55596914e-01 +/- 2.62408556e+13
x_O684_Phase0   7.08677999e-02 +/- 1.22309791e+13
x_O685_Phase0   9.29131821e-01 +/- 2.75640012e+13
x_O686_Phase0   4.31021999e-01 +/- 2.69964073e+13
x_O687_Phase0   5.68978338e-01 +/- 2.74314289e+13
x_O688_Phase0   9.30257482e-01 +/- 2.78417820e+13
x_O689_Phase0   6.97926229e-02 +/- 1.08257701e+13
x_O690_Phase0   5.69679945e-01 +/- 2.69365226e+13
x_O691_Phase0   4.30307497e-01 +/- 2.60507254e+13
x_O6_Phase0     5.40529942e-01 +/- 2.67758029e+13
x_O702_Phase0   6.99140202e-01 +/- 2.83830413e+13
x_O703_Phase0   3.00859788e-01 +/- 2.53096804e+13
x_O708_Phase0   1.36756258e-01 +/- 1.83887037e+13
x_O709_Phase0   8.63243810e-01 +/- 2.78511770e+13
x_O710_Phase0   3.63490897e-01 +/- 2.61238205e+13
x_O711_Phase0   6.36509389e-01 +/- 2.72881588e+13
x_O712_Phase0   8.63831291e-01 +/- 2.77693203e+13
x_O713_Phase0   1.36165347e-01 +/- 1.85996840e+13
x_O714_Phase0   6.36524223e-01 +/- 2.75058562e+13
x_O715_Phase0   3.63476240e-01 +/- 2.62782940e+13
x_O72_Phase0    2.69866359e-02 +/- 4.76461086e+12
x_O732_Phase0   1.99328248e-01 +/- 2.19881946e+13
x_O733_Phase0   8.00665003e-01 +/- 2.76718391e+13
x_O734_Phase0   2.99526627e-01 +/- 2.43624413e+13
x_O735_Phase0   7.00473283e-01 +/- 2.72450048e+13
x_O736_Phase0   7.98974387e-01 +/- 2.86078721e+13
x_O737_Phase0   2.01025755e-01 +/- 2.29434488e+13
x_O738_Phase0   7.01095452e-01 +/- 2.83289778e+13
x_O739_Phase0   2.98887122e-01 +/- 2.53380141e+13
x_O73_Phase0    9.73010616e-01 +/- 2.79167524e+13
x_O744_Phase0   2.54956724e-01 +/- 2.37315646e+13
x_O745_Phase0   7.45043066e-01 +/- 2.81625865e+13
x_O746_Phase0   7.55697253e-01 +/- 2.81429001e+13
x_O747_Phase0   2.44258015e-01 +/- 2.36852105e+13
x_O74_Phase0    4.71572665e-01 +/- 2.66521216e+13
x_O75_Phase0    5.28426969e-01 +/- 2.70352622e+13
x_O76_Phase0    9.72615468e-01 +/- 2.75770643e+13
x_O77_Phase0    2.73818148e-02 +/- 4.76664324e+12
x_O78_Phase0    5.26474444e-01 +/- 2.69030144e+13
x_O79_Phase0    4.73582487e-01 +/- 2.69238386e+13
x_O7_Phase0     4.59470213e-01 +/- 2.67079066e+13
x_O96_Phase0    9.78258669e-02 +/- 1.56714187e+13
x_O97_Phase0    9.02197797e-01 +/- 2.69706241e+13
x_O98_Phase0    4.02406677e-01 +/- 2.65083408e+13
x_O99_Phase0    5.97593580e-01 +/- 2.73230954e+13
x_V0_Phase0     4.36487251e-02 +/- 6.45690736e+12
x_V100_Phase0   8.73213917e-01 +/- 2.21236501e+13
x_V101_Phase0   1.27006319e-01 +/- 1.67342574e+13
x_V102_Phase0   6.29176549e-01 +/- 2.33432054e+13
x_V103_Phase0   3.70542539e-01 +/- 2.51010901e+13
x_V119_Phase0   7.94486194e-01 +/- 2.81043045e+13
x_V120_Phase0   1.34073374e-01 +/- 1.70500001e+13
x_V121_Phase0   8.65907058e-01 +/- 2.27973489e+13
x_V122_Phase0   3.66387413e-01 +/- 2.43701969e+13
x_V123_Phase0   6.33518782e-01 +/- 2.73260139e+13
x_V124_Phase0   8.67679059e-01 +/- 2.79333457e+13
x_V125_Phase0   1.32321940e-01 +/- 1.86174860e+13
x_V126_Phase0   6.29124467e-01 +/- 2.24557559e+13
x_V127_Phase0   3.70802190e-01 +/- 2.17751621e+13
x_V12_Phase0    2.80898148e-01 +/- 2.41854920e+13
x_V131_Phase0   1.26029877e-01 +/- 1.73414004e+13
x_V132_Phase0   1.25945500e-01 +/- 1.79637495e+13
x_V133_Phase0   8.74055495e-01 +/- 2.78473472e+13
x_V138_Phase0   7.94664844e-01 +/- 2.77267393e+13
x_V139_Phase0   2.05335238e-01 +/- 2.14105352e+13
x_V13_Phase0    7.19101010e-01 +/- 2.74464954e+13
x_V140_Phase0   7.03979372e-01 +/- 2.77584302e+13
x_V141_Phase0   2.95998100e-01 +/- 2.49724642e+13
x_V144_Phase0   2.85499228e-02 +/- 4.54904097e+12
x_V145_Phase0   9.71450995e-01 +/- 1.92532109e+13
x_V146_Phase0   4.76373092e-01 +/- 2.26333704e+13
x_V147_Phase0   5.23613094e-01 +/- 2.27848775e+13
x_V148_Phase0   9.79607446e-01 +/- 1.94232393e+13
x_V149_Phase0   2.04025643e-02 +/- 3.48584647e+12
x_V150_Phase0   5.29100696e-01 +/- 2.27119668e+13
x_V151_Phase0   4.70894462e-01 +/- 2.23958353e+13
x_V168_Phase0   3.66399516e-02 +/- 5.83837810e+12
x_V169_Phase0   9.63375766e-01 +/- 2.00225823e+13
x_V170_Phase0   4.57750139e-01 +/- 2.22788128e+13
x_V171_Phase0   5.42248580e-01 +/- 2.26824488e+13
x_V172_Phase0   9.62939036e-01 +/- 2.19564438e+13
x_V173_Phase0   3.69189813e-02 +/- 7.15296031e+12
x_V174_Phase0   5.37391586e-01 +/- 2.38175651e+13
x_V175_Phase0   4.62626302e-01 +/- 2.27753627e+13
x_V192_Phase0   2.09707638e-01 +/- 1.89867553e+13
x_V193_Phase0   7.90308534e-01 +/- 2.21103330e+13
x_V194_Phase0   2.83446834e-01 +/- 2.17262101e+13
x_V195_Phase0   7.16553586e-01 +/- 2.29271438e+13
x_V196_Phase0   7.87430569e-01 +/- 2.27121956e+13
x_V197_Phase0   2.13078981e-01 +/- 2.19280735e+13
x_V198_Phase0   7.13698523e-01 +/- 2.54066075e+13
x_V199_Phase0   2.85535157e-01 +/- 2.49054789e+13
x_V1_Phase0     9.56252990e-01 +/- 2.78487697e+13
x_V206_Phase0   7.06719423e-01 +/- 2.76899828e+13
x_V207_Phase0   2.93286641e-01 +/- 2.30023545e+13
x_V20_Phase0    6.20891494e-01 +/- 2.74493071e+13
x_V213_Phase0   3.51930805e-02 +/- 5.22236541e+12
x_V26_Phase0    1.21584202e-01 +/- 1.61751497e+13
x_V27_Phase0    8.78414349e-01 +/- 2.27519634e+13
x_V2_Phase0     4.52607042e-01 +/- 2.27858793e+13
x_V34_Phase0    4.63958868e-01 +/- 2.25218438e+13
x_V35_Phase0    5.36068076e-01 +/- 2.28777795e+13
x_V3_Phase0     5.47448311e-01 +/- 2.29311042e+13
x_V42_Phase0    1.98521272e-01 +/- 2.01874954e+13
x_V43_Phase0    8.01373986e-01 +/- 2.62877004e+13
x_V45_Phase0    2.99418506e-01 +/- 2.49278041e+13
x_V48_Phase0    3.66936680e-02 +/- 7.20790022e+12
x_V49_Phase0    9.63187935e-01 +/- 2.18936851e+13
x_V4_Phase0     9.59464965e-01 +/- 2.71404480e+13
x_V50_Phase0    4.62382172e-01 +/- 2.25692725e+13
x_V51_Phase0    5.37591082e-01 +/- 2.52990703e+13
x_V52_Phase0    9.63151805e-01 +/- 2.14889930e+13
x_V53_Phase0    3.70178885e-02 +/- 5.62193276e+12
x_V54_Phase0    5.37790244e-01 +/- 2.37285851e+13
x_V55_Phase0    4.62210514e-01 +/- 2.34621492e+13
x_V5_Phase0     4.05928037e-02 +/- 6.36990352e+12
x_V67_Phase0    4.60133226e-01 +/- 2.70665273e+13
x_V6_Phase0     5.41106088e-01 +/- 2.29156682e+13
x_V72_Phase0    2.01494927e-01 +/- 1.89779644e+13
x_V73_Phase0    7.98500368e-01 +/- 2.21453088e+13
x_V74_Phase0    3.05087163e-01 +/- 2.51095250e+13
x_V75_Phase0    6.94911826e-01 +/- 2.76468463e+13
x_V76_Phase0    8.04091843e-01 +/- 2.75334765e+13
x_V77_Phase0    1.95907429e-01 +/- 2.19531309e+13
x_V78_Phase0    6.98502349e-01 +/- 2.35153375e+13
x_V79_Phase0    3.01452814e-01 +/- 2.21584491e+13
x_V7_Phase0     4.58892859e-01 +/- 2.30104215e+13
x_V82_Phase0    9.68564989e-01 +/- 2.52249190e+13
x_V83_Phase0    3.14318644e-02 +/- 4.94307508e+12
x_V84_Phase0    3.09910517e-02 +/- 4.90496898e+12
x_V85_Phase0    9.69009583e-01 +/- 2.41347001e+13
x_V91_Phase0    3.71244977e-01 +/- 2.59950799e+13
x_V96_Phase0    1.28718288e-01 +/- 1.72249717e+13
x_V97_Phase0    8.71315302e-01 +/- 2.35689505e+13
x_V98_Phase0    3.70772985e-01 +/- 2.32750605e+13
x_V99_Phase0    6.29226878e-01 +/- 2.39853736e+13
x_V9_Phase0     7.85037788e-01 +/- 2.53946119e+13
x_ZR0_Phase0    1.13723099e-03 +/- 1.84839029e+11
x_ZR100_Phase0  5.01684216e-01 +/- 2.29843604e+13
x_ZR101_Phase0  4.98440297e-01 +/- 2.31585598e+13
x_ZR102_Phase0  4.94899378e-01 +/- 2.24170453e+13
x_ZR103_Phase0  5.03338399e-01 +/- 2.34436136e+13
x_ZR104_Phase0  5.13183430e-04 +/- 8.58892791e+10
x_ZR105_Phase0  9.99574052e-01 +/- 2.31340426e+13
x_ZR106_Phase0  9.98079206e-01 +/- 2.28996610e+13
x_ZR107_Phase0  2.03792881e-03 +/- 3.66719934e+11
x_ZR10_Phase0   9.93502600e-01 +/- 2.05937379e+13
x_ZR11_Phase0   6.65050980e-03 +/- 1.19090120e+12
x_ZR12_Phase0   2.60485090e-03 +/- 4.57313574e+11
x_ZR13_Phase0   9.97302831e-01 +/- 2.25208757e+13
x_ZR14_Phase0   5.03750971e-01 +/- 2.39497369e+13
x_ZR15_Phase0   4.96889815e-01 +/- 2.35301529e+13
x_ZR16_Phase0   3.37597860e-01 +/- 2.14938733e+13
x_ZR17_Phase0   6.62637540e-01 +/- 2.23520768e+13
x_ZR18_Phase0   6.62526471e-01 +/- 2.27067143e+13
